beta1,beta2,beta3,gamma,pop,state
1.2593721806195166,0.2799416464355719,0.12055346133359146,0.13178755844895274,8602865,PA
0.4844035221389368,0.21771111086479616,0.12290530326551632,0.12923825116125384,605761,RR
0.8719709277066464,0.26848794582082425,0.14831854357735985,0.14061285832600573,11433957,PR
1.9957952491033877,0.23261835819317894,0.12213085860229891,0.12303806546112979,4018650,ES
0.8691863714501502,0.27025734062335627,0.14636815778159734,0.14185037372691364,3484466,MT
1.0560302276032911,0.23073720212727014,0.12443946368566845,0.12754816229478927,3273227,PI
0.9654994400787685,0.303290513905531,0.15138878240640657,0.14112615294809205,7018354,GO
1.6542262618680896,0.2328920312818678,0.13050347049695307,0.12186699216494379,2778986,MS
0.49546536482185455,0.25795610050758944,0.13192899813318054,0.13820967264228748,1777225,RO
1.7368806138429143,0.25571718807212135,0.11975506704000437,0.11934067422388525,3015268,DF
0.4050204057357654,0.25448714533158284,0.12377845503494375,0.13187799446116594,881935,AC
1.816756319805716,0.256371585708064,0.12709089002085164,0.12084012901258952,21168791,MG
0.431739825370858,0.25437475505932416,0.12990219360010583,0.13307628347145556,9557071,PE
0.3805764305933926,0.2107410743543854,0.1193960797393712,0.12056265604167354,17264943,RJ
0.06375276867885257,0.3020558953414734,0.1401599620897619,0.13485460838682636,1572866,TO
0.7105158247309976,0.19635314651027275,0.12499935924969954,0.11338248958320894,7164788,SC
0.41522914197190464,0.2000705932566455,0.10630360959968005,0.1136839244132842,9132078,CE
0.4110173293430212,0.2942771332582287,0.13062168959438786,0.1398547456364817,4018127,PB
0.40317266872686364,0.2686937189446402,0.12045411541830021,0.13223580238768537,7075181,MA
0.5691283529403016,0.2263709797849625,0.09722151410378438,0.11135367236067766,845731,AP
0.21715051964695062,0.22492350490053775,0.12912012763076003,0.11658418588323433,11377239,RS
0.5717410255607743,0.2501225050115211,0.11795995548235615,0.13574601896758529,3337357,AL
0.4473559958709927,0.24407899482988862,0.13440042658585852,0.1320421164459128,45919049,SP
1.0037513027576632,0.2479535258267086,0.12761496505953324,0.12517532284751642,210147125,TOTAL
0.35793408698522816,0.25621255324008885,0.12370473643564062,0.13723340861953415,3506853,RN
0.35865421532767056,0.2519246966821096,0.12809262272421207,0.13341994787925274,4144597,AM
0.3461006831083039,0.28543126034654276,0.13740277982883173,0.13862535627715136,14873064,BA
0.3379906615873115,0.24471159053068822,0.11920891778438295,0.1318676638907007,2298696,SE
