day,state,SIR_beta_variante,SIR,SEIR,SEIR_beta_variante,SEIIR_sin,SEIIR_sin_beta_variante,SEIIR_asin,SEIIR_asin_beta_variante
2020-03-20,MT,1,50,50,8,50,0,50,23
2020-03-21,MT,1,52,58,7,39,0,59,17
2020-03-22,MT,3,53,63,8,33,1,78,14
2020-03-23,MT,5,55,68,10,30,1,99,13
2020-03-24,MT,10,56,71,11,28,2,120,12
2020-03-25,MT,20,58,74,13,28,2,138,12
2020-03-26,MT,39,60,77,14,28,2,154,12
2020-03-27,MT,76,62,79,15,28,3,168,12
2020-03-28,MT,147,64,81,16,29,3,181,13
2020-03-29,MT,171,66,84,18,29,4,194,14
2020-03-30,MT,178,68,86,19,30,4,205,15
2020-03-31,MT,185,70,89,20,31,5,216,17
2020-04-01,MT,192,72,91,22,33,6,228,19
2020-04-02,MT,200,74,94,23,34,6,239,21
2020-04-03,MT,208,76,97,25,35,7,250,23
2020-04-04,MT,216,79,100,27,37,8,262,26
2020-04-05,MT,224,81,102,28,38,9,273,29
2020-04-06,MT,233,84,105,30,40,10,286,32
2020-04-07,MT,243,86,108,33,42,11,298,36
2020-04-08,MT,252,89,111,35,44,12,311,40
2020-04-09,MT,262,92,115,37,45,14,325,44
2020-04-10,MT,272,94,118,40,47,15,339,50
2020-04-11,MT,283,97,121,43,49,17,354,55
2020-04-12,MT,294,100,125,45,52,19,369,62
2020-04-13,MT,306,103,128,49,54,21,386,69
2020-04-14,MT,318,106,132,52,56,24,402,77
2020-04-15,MT,330,110,136,56,59,27,420,86
2020-04-16,MT,343,113,140,59,61,30,438,96
2020-04-17,MT,357,117,144,64,64,33,457,107
2020-04-18,MT,371,120,148,68,67,37,477,119
2020-04-19,MT,386,124,152,73,69,41,497,133
2020-04-20,MT,401,128,156,78,72,46,519,148
2020-04-21,MT,417,132,161,83,76,52,541,165
2020-04-22,MT,433,136,165,89,79,57,565,184
2020-04-23,MT,450,140,170,95,82,64,589,206
2020-04-24,MT,468,144,175,102,86,71,615,227
2020-04-25,MT,486,148,180,109,90,77,641,246
2020-04-26,MT,505,153,185,116,93,83,669,265
2020-04-27,MT,525,158,190,124,97,89,698,285
2020-04-28,MT,546,163,196,133,102,95,728,305
2020-04-29,MT,568,168,201,142,106,101,760,326
2020-04-30,MT,590,173,207,152,111,108,792,349
2020-05-01,MT,613,178,213,163,115,116,827,373
2020-05-02,MT,637,183,219,174,120,124,862,398
2020-05-03,MT,662,189,225,186,126,132,899,425
2020-05-04,MT,688,195,232,199,131,141,938,454
2020-05-05,MT,715,201,238,213,137,150,979,485
2020-05-06,MT,744,207,245,227,142,161,1021,518
2020-05-07,MT,773,213,252,243,149,172,1065,553
2020-05-08,MT,803,220,259,260,155,183,1110,591
2020-05-09,MT,835,227,267,278,162,196,1158,631
2020-05-10,MT,868,234,275,297,169,209,1208,674
2020-05-11,MT,902,241,282,318,176,223,1260,719
2020-05-12,MT,937,248,290,340,183,238,1314,768
2020-05-13,MT,974,256,299,363,191,254,1370,820
2020-05-14,MT,1012,264,307,389,199,272,1428,876
2020-05-15,MT,1052,272,316,416,208,290,1490,935
2020-05-16,MT,1093,280,325,444,217,310,1553,999
2020-05-17,MT,1136,289,334,475,226,331,1619,1066
2020-05-18,MT,1180,297,344,508,236,353,1689,1138
2020-05-19,MT,1227,306,354,543,246,377,1761,1215
2020-05-20,MT,1275,316,364,581,256,403,1836,1298
2020-05-21,MT,1325,326,374,621,267,430,1914,1385
2020-05-22,MT,1377,336,385,664,278,459,1995,1479
2020-05-23,MT,1430,346,396,710,290,490,2080,1579
2020-05-24,MT,1486,356,407,759,303,523,2168,1685
2020-05-25,MT,1545,367,419,812,315,558,2260,1799
2020-05-26,MT,1605,379,431,868,329,596,2355,1920
2020-05-27,MT,1668,390,443,928,343,636,2455,2049
2020-05-28,MT,1733,402,455,993,357,679,2558,2187
2020-05-29,MT,1801,414,468,1061,372,724,2666,2334
2020-05-30,MT,1871,427,482,1135,388,773,2778,2491
2020-05-31,MT,1944,440,496,1213,404,825,2894,2658
2020-06-01,MT,2020,454,510,1297,421,880,3016,2837
2020-06-02,MT,2098,467,524,1387,439,939,3142,3026
2020-06-03,MT,2180,482,539,1483,457,1002,3273,3229
2020-06-04,MT,2265,496,554,1586,476,1069,3410,3444
2020-06-05,MT,2353,512,570,1695,496,1140,3552,3674
2020-06-06,MT,2445,527,587,1813,516,1216,3699,3919
2020-06-07,MT,2540,543,603,1938,538,1297,3852,4179
2020-06-08,MT,2639,560,620,2072,560,1383,4012,4457
2020-06-09,MT,2741,577,638,2215,583,1474,4177,4752
2020-06-10,MT,2847,595,656,2368,607,1572,4349,5067
2020-06-11,MT,2958,613,675,2531,632,1675,4528,5401
2020-06-12,MT,3072,632,694,2706,658,1786,4713,5757
2020-06-13,MT,3191,651,714,2893,685,1901,4905,6129
2020-06-14,MT,3315,671,734,3092,712,1989,5105,6418
2020-06-15,MT,3443,691,755,3305,741,2052,5312,6628
2020-06-16,MT,3576,712,777,3533,771,2100,5527,6790
2020-06-17,MT,3714,734,799,3776,802,2139,5750,6923
2020-06-18,MT,3857,756,821,4036,835,2173,5982,7038
2020-06-19,MT,4006,779,845,4314,868,2204,6221,7143
2020-06-20,MT,4160,803,869,4610,903,2233,6470,7241
2020-06-21,MT,4320,828,893,4927,939,2261,6727,7335
2020-06-22,MT,4486,853,919,5266,976,2288,6993,7426
2020-06-23,MT,4658,879,945,5591,1014,2316,7269,7517
2020-06-24,MT,4832,906,972,5824,1054,2343,7555,7606
2020-06-25,MT,4863,933,999,5989,1095,2370,7850,7695
2020-06-26,MT,4893,962,1028,6107,1138,2397,8155,7784
2020-06-27,MT,4923,991,1057,6193,1182,2424,8471,7872
2020-06-28,MT,4953,1021,1087,6256,1227,2451,8797,7960
2020-06-29,MT,4984,1052,1118,6303,1274,2478,9134,8048
2020-06-30,MT,5014,1084,1149,6340,1323,2505,9482,8136
2020-07-01,MT,5044,1117,1182,6370,1373,2532,9842,8224
2020-07-02,MT,5075,1151,1215,6394,1424,2559,10212,8312
2020-07-03,MT,5105,1186,1250,6415,1478,2585,10594,8400
2020-07-04,MT,5136,1222,1285,6433,1532,2612,10988,8487
2020-07-05,MT,5166,1259,1322,6450,1589,2639,11393,8575
2020-07-06,MT,5197,1297,1359,6465,1647,2666,11810,8662
2020-07-07,MT,5227,1337,1398,6479,1707,2692,12240,8748
2020-07-08,MT,5258,1377,1437,6493,1768,2719,12681,8835
2020-07-09,MT,5288,1419,1478,6506,1831,2745,13135,8921
2020-07-10,MT,5319,1462,1520,6519,1896,2772,13601,9007
2020-07-11,MT,5349,1506,1563,6532,1963,2798,14079,9092
2020-07-12,MT,5380,1552,1607,6544,2031,2824,14569,9177
2020-07-13,MT,5410,1599,1652,6556,2101,2850,15072,9261
2020-07-14,MT,5441,1647,1699,6568,2173,2876,15586,9345
2020-07-15,MT,5471,1697,1747,6579,2246,2901,16113,9428
2020-07-16,MT,5502,1748,1796,6591,2321,2927,16651,9511
2020-07-17,MT,5532,1801,1847,6602,2397,2952,17200,9593
2020-07-18,MT,5563,1855,1899,6613,2475,2977,17761,9674
2020-07-19,MT,5593,1911,1952,6624,2555,3001,18334,9755
2020-07-20,MT,5623,1969,2008,6635,2636,3026,18916,9835
2020-07-21,MT,5654,2028,2064,6646,2718,3050,19509,9914
2020-07-22,MT,5684,2089,2122,6656,2802,3074,20112,9992
2020-07-23,MT,5714,2152,2182,6667,2887,3098,20724,10069
2020-07-24,MT,5744,2217,2243,6677,2973,3121,21345,10146
2020-07-25,MT,5775,2283,2306,6687,3060,3144,21974,10221
2020-07-26,MT,5805,2352,2371,6697,3149,3167,22611,10295
2020-07-27,MT,5835,2423,2438,6707,3238,3189,23254,10368
2020-07-28,MT,5865,2495,2506,6716,3328,3211,23903,10440
2020-07-29,MT,5895,2570,2577,6726,3419,3233,24558,10511
2020-07-30,MT,5925,2647,2649,6735,3510,3255,25216,10581
2020-07-31,MT,5955,2726,2723,6744,3602,3276,25878,10650
2020-08-01,MT,5984,2808,2799,6753,3694,3296,26542,10717
2020-08-02,MT,6014,2892,2878,6762,3786,3316,27207,10783
2020-08-03,MT,6044,2978,2958,6771,3878,3336,27872,10848
2020-08-04,MT,6073,3067,3041,6779,3970,3356,28535,10911
2020-08-05,MT,6103,3158,3126,6788,4061,3374,29196,10973
2020-08-06,MT,6132,3252,3213,6796,4152,3393,29853,11033
2020-08-07,MT,6161,3349,3303,6804,4242,3411,30505,11092
2020-08-08,MT,6190,3448,3395,6812,4332,3428,31151,11149
2020-08-09,MT,6220,3551,3489,6820,4420,3445,31788,11205
2020-08-10,MT,6249,3656,3587,6827,4506,3462,32415,11259
2020-08-11,MT,6277,3764,3686,6835,4591,3478,33032,11311
2020-08-12,MT,6306,3875,3789,6842,4675,3494,33636,11362
2020-08-13,MT,6335,3990,3894,6849,4756,3509,34226,11411
2020-08-14,MT,6363,4108,4002,6856,4835,3523,34800,11459
2020-08-15,MT,6392,4229,4113,6863,4912,3537,35358,11504
2020-08-16,MT,6420,4353,4227,6869,4986,3550,35896,11548
2020-08-17,MT,6448,4481,4344,6876,5057,3563,36415,11590
2020-08-18,MT,6476,4613,4464,6882,5125,3575,36911,11630
2020-08-19,MT,6504,4748,4587,6888,5190,3587,37385,11668
2020-08-20,MT,6532,4887,4714,6894,5251,3598,37834,11705
2020-08-21,MT,6559,5030,4844,6900,5309,3608,38257,11739
2020-08-22,MT,6587,5177,4977,6905,5363,3618,38653,11771
2020-08-23,MT,6614,5328,5114,6911,5413,3627,39021,11802
2020-08-24,MT,6641,5483,5255,6916,5459,3636,39359,11830
2020-08-25,MT,6668,5642,5399,6921,5501,3644,39667,11857
2020-08-26,MT,6695,5806,5547,6926,5538,3651,39943,11881
2020-08-27,MT,6722,5974,5699,6931,5571,3658,40186,11903
2020-08-28,MT,6748,6146,5855,6935,5599,3664,40396,11924
2020-08-29,MT,6775,6324,6015,6940,5622,3670,40573,11942
2020-08-30,MT,6801,6506,6179,6944,5641,3675,40715,11958
2020-08-31,MT,6827,6693,6347,6948,5654,3679,40822,11972
2020-09-01,MT,6852,6885,6520,6952,5663,3682,40893,11984
2020-09-02,MT,6878,7082,6697,6955,5667,3685,40930,11993
2020-09-03,MT,6903,7284,6878,6959,5666,3687,40931,12001
2020-09-04,MT,6928,7491,7065,6962,5660,3689,40896,12007
2020-09-05,MT,6953,7704,7256,6965,5649,3690,40826,12010
2020-09-06,MT,6978,7923,7451,6968,5633,3690,40721,12011
2020-09-07,MT,7003,8147,7652,6971,5613,3690,40582,12010
2020-09-08,MT,7027,8377,7858,6974,5588,3689,40408,12007
2020-09-09,MT,7051,8613,8069,6976,5558,3687,40202,12002
2020-09-10,MT,7075,8854,8286,6978,5524,3685,39962,11995
2020-09-11,MT,7099,9102,8507,6980,5485,3682,39690,11985
2020-09-12,MT,7122,9356,8734,6982,5442,3678,39388,11974
2020-09-13,MT,7145,9617,8967,6984,5395,3674,39056,11960
2020-09-14,MT,7168,9884,9206,6986,5344,3669,38695,11945
2020-09-15,MT,7191,10157,9450,6987,5289,3663,38306,11927
2020-09-16,MT,7213,10437,9700,6988,5231,3657,37891,11907
2020-09-17,MT,7236,10724,9957,6989,5169,3650,37451,11885
2020-09-18,MT,7258,11018,10219,6990,5104,3643,36987,11861
2020-09-19,MT,7279,11318,10488,6991,5036,3635,36501,11835
2020-09-20,MT,7301,11626,10764,6991,4965,3626,35994,11807
2020-09-21,MT,7322,11941,11045,6991,4892,3617,35467,11777
2020-09-22,MT,7343,12263,11334,6991,4816,3607,34923,11745
2020-09-23,MT,7364,12593,11629,6991,4737,3596,34362,11711
2020-09-24,MT,7384,12930,11931,6991,4657,3585,33786,11676
2020-09-25,MT,7404,13275,12240,6991,4575,3573,33197,11638
2020-09-26,MT,7424,13628,12557,6990,4491,3561,32595,11599
2020-09-27,MT,7444,13988,12880,6989,4406,3548,31983,11557
2020-09-28,MT,7463,14356,13211,6988,4320,3535,31362,11514
2020-09-29,MT,7482,14732,13549,6987,4232,3521,30733,11469
2020-09-30,MT,7501,15116,13895,6986,4144,3507,30098,11423
2020-10-01,MT,7519,15508,14248,6984,4055,3492,29457,11374
2020-10-02,MT,7537,15908,14610,6982,3966,3476,28813,11324
2020-10-03,MT,7555,16316,14979,6981,3876,3460,28166,11273
2020-10-04,MT,7572,16733,15356,6979,3786,3444,27518,11219
2020-10-05,MT,7590,17158,15741,6976,3696,3427,26869,11164
2020-10-06,MT,7607,17590,16135,6974,3607,3409,26222,11108
2020-10-07,MT,7623,18032,16537,6971,3517,3391,25576,11050
2020-10-08,MT,7639,18481,16947,6969,3428,3373,24933,10991
2020-10-09,MT,7655,18939,17365,6966,3340,3354,24294,10930
2020-10-10,MT,7671,19405,17793,6963,3252,3335,23660,10867
2020-10-11,MT,7686,19880,18228,6959,3165,3315,23031,10804
2020-10-12,MT,7701,20362,18673,6956,3079,3295,22408,10739
2020-10-13,MT,7716,20853,19126,6952,2994,3275,21792,10673
2020-10-14,MT,7730,21352,19588,6948,2910,3254,21184,10605
2020-10-15,MT,7744,21859,20059,6944,2827,3233,20583,10537
2020-10-16,MT,7758,22374,20539,6940,2746,3212,19992,10467
2020-10-17,MT,7771,22897,21028,6936,2665,3190,19409,10396
2020-10-18,MT,7784,23428,21526,6931,2586,3167,18836,10324
2020-10-19,MT,7796,23966,22033,6927,2509,3145,18273,10251
2020-10-20,MT,7809,24512,22549,6922,2433,3122,17720,10177
2020-10-21,MT,7821,25066,23074,6917,2358,3099,17178,10102
2020-10-22,MT,7832,25626,23609,6912,2285,3076,16647,10026
2020-10-23,MT,7843,26194,24152,6906,2213,3052,16126,9949
2020-10-24,MT,7854,26769,24704,6901,2143,3028,15617,9871
2020-10-25,MT,7865,27350,25266,6895,2074,3004,15119,9793
2020-10-26,MT,7875,27937,25836,6889,2007,2980,14632,9713
2020-10-27,MT,7885,28531,26416,6883,1942,2955,14157,9634
2020-10-28,MT,7894,29130,27004,6877,1878,2930,13693,9553
2020-10-29,MT,7903,29735,27601,6870,1816,2905,13241,9472
2020-10-30,MT,7912,30346,28207,6864,1755,2880,12800,9390
2020-10-31,MT,7920,30961,28822,6857,1696,2855,12371,9307
2020-11-01,MT,7928,31581,29445,6850,1639,2829,11953,9224
2020-11-02,MT,7936,32205,30076,6843,1583,2803,11547,9141
2020-11-03,MT,7943,32832,30716,6836,1529,2778,11151,9057
2020-11-04,MT,7950,33464,31363,6829,1476,2752,10767,8973
2020-11-05,MT,7956,34098,32019,6821,1425,2726,10394,8888
2020-11-06,MT,7962,34734,32683,6813,1375,2700,10032,8803
2020-11-07,MT,7968,35373,33353,6805,1327,2673,9680,8718
2020-11-08,MT,7973,36013,34032,6797,1280,2647,9339,8632
2020-11-09,MT,7978,36654,34717,6789,1234,2621,9008,8547
2020-11-10,MT,7983,37296,35409,6781,1190,2594,8687,8461
2020-11-11,MT,7987,37938,36108,6772,1148,2568,8376,8375
2020-11-12,MT,7991,38579,36813,6764,1106,2541,8075,8288
2020-11-13,MT,7994,39219,37523,6755,1066,2515,7784,8202
2020-11-14,MT,7997,39858,38240,6746,1028,2488,7502,8115
2020-11-15,MT,8000,40494,38961,6737,990,2462,7229,8029
2020-11-16,MT,8002,41127,39687,6728,954,2435,6965,7943
2020-11-17,MT,8004,41756,40418,6718,919,2408,6709,7856
2020-11-18,MT,8006,42381,41153,6709,885,2382,6462,7770
2020-11-19,MT,8007,43001,41891,6699,852,2355,6224,7684
2020-11-20,MT,8008,43616,42633,6689,821,2329,5993,7597
2020-11-21,MT,8008,44224,43377,6679,790,2303,5770,7511
2020-11-22,MT,8008,44826,44124,6669,761,2276,5555,7426
2020-11-23,MT,8008,45420,44872,6658,732,2250,5348,7340
2020-11-24,MT,8007,46005,45621,6648,705,2224,5147,7254
2020-11-25,MT,8006,46582,46371,6637,678,2197,4954,7169
2020-11-26,MT,8004,47149,47121,6627,653,2171,4767,7084
2020-11-27,MT,8002,47705,47870,6616,628,2145,4587,7000
2020-11-28,MT,8000,48251,48619,6605,604,2120,4413,6915
2020-11-29,MT,7997,48784,49365,6593,581,2094,4246,6831
2020-11-30,MT,7994,49305,50109,6582,559,2068,4084,6748
2020-12-01,MT,7991,49813,50850,6571,538,2043,3929,6665
2020-12-02,MT,7987,50307,51588,6559,517,2017,3779,6582
2020-12-03,MT,7983,50787,52320,6547,497,1992,3634,6499
2020-12-04,MT,7978,51252,53048,6535,478,1967,3495,6417
2020-12-05,MT,7973,51701,53770,6523,460,1942,3361,6336
2020-12-06,MT,7968,52133,54486,6511,442,1917,3231,6255
2020-12-07,MT,7962,52549,55194,6499,425,1892,3107,6174
2020-12-08,MT,7956,52947,55895,6487,409,1867,2987,6094
2020-12-09,MT,7950,53327,56587,6474,393,1843,2871,6014
2020-12-10,MT,7943,53688,57269,6461,378,1819,2760,5935
2020-12-11,MT,7936,54031,57941,6449,363,1795,2653,5857
2020-12-12,MT,7929,54353,58603,6436,349,1771,2550,5779
2020-12-13,MT,7921,54656,59253,6423,336,1747,2451,5702
2020-12-14,MT,7912,54939,59890,6410,322,1723,2356,5625
2020-12-15,MT,7904,55200,60514,6396,310,1700,2264,5548
2020-12-16,MT,7895,55440,61125,6383,298,1677,2176,5473
2020-12-17,MT,7886,55659,61721,6369,286,1654,2091,5398
2020-12-18,MT,7876,55856,62301,6356,275,1631,2009,5323
2020-12-19,MT,7866,56032,62866,6342,264,1608,1931,5250
2020-12-20,MT,7855,56184,63414,6328,254,1586,1855,5176
2020-12-21,MT,7845,56315,63944,6314,244,1564,1782,5104
2020-12-22,MT,7834,56423,64456,6300,234,1542,1712,5032
2020-12-23,MT,7822,56508,64950,6286,225,1520,1645,4961
2020-12-24,MT,7810,56570,65424,6271,216,1498,1581,4890
2020-12-25,MT,7798,56609,65878,6257,208,1477,1519,4820
2020-12-26,MT,7786,56626,66312,6242,200,1455,1459,4751
2020-12-27,MT,7773,56620,66725,6228,192,1434,1401,4683
2020-12-28,MT,7760,56591,67116,6213,184,1414,1346,4615
2020-12-29,MT,7747,56540,67484,6198,177,1393,1293,4547
2020-12-30,MT,7733,56466,67830,6183,170,1373,1242,4481
2020-12-31,MT,7719,56370,68153,6168,163,1352,1193,4415
2020-03-21,RR,0,50,50,0,48,3,47,9
2020-03-22,RR,0,51,58,1,44,3,52,8
2020-03-23,RR,1,53,63,2,42,3,64,8
2020-03-24,RR,2,55,67,2,42,3,77,8
2020-03-25,RR,3,56,71,3,42,4,91,9
2020-03-26,RR,6,58,73,3,44,4,104,9
2020-03-27,RR,12,60,76,4,45,4,116,10
2020-03-28,RR,23,61,78,5,47,5,127,11
2020-03-29,RR,31,63,80,6,49,5,137,12
2020-03-30,RR,33,65,83,7,51,6,147,14
2020-03-31,RR,35,67,85,8,54,7,156,15
2020-04-01,RR,37,69,87,9,56,7,165,17
2020-04-02,RR,39,71,90,11,59,8,174,19
2020-04-03,RR,41,73,92,12,62,9,183,21
2020-04-04,RR,43,75,94,15,64,10,192,23
2020-04-05,RR,46,78,97,17,67,11,202,26
2020-04-06,RR,49,80,99,20,70,13,211,29
2020-04-07,RR,51,82,102,23,74,14,222,32
2020-04-08,RR,54,85,105,27,77,15,232,35
2020-04-09,RR,58,87,108,32,81,17,243,39
2020-04-10,RR,61,90,110,38,84,19,254,44
2020-04-11,RR,65,92,113,44,88,21,266,48
2020-04-12,RR,68,95,116,51,92,24,278,54
2020-04-13,RR,72,98,119,60,96,26,291,60
2020-04-14,RR,76,101,122,70,101,29,304,67
2020-04-15,RR,81,104,126,82,106,32,318,74
2020-04-16,RR,86,107,129,96,110,36,333,82
2020-04-17,RR,91,110,132,108,115,40,348,91
2020-04-18,RR,96,113,136,119,121,44,364,101
2020-04-19,RR,101,117,139,128,126,49,380,113
2020-04-20,RR,107,120,143,137,132,55,398,125
2020-04-21,RR,113,124,147,145,138,61,416,139
2020-04-22,RR,120,127,151,154,144,67,435,154
2020-04-23,RR,127,131,155,162,151,73,455,167
2020-04-24,RR,134,135,159,171,158,78,475,179
2020-04-25,RR,142,139,163,180,165,83,497,190
2020-04-26,RR,150,143,167,189,172,88,519,202
2020-04-27,RR,159,147,172,199,180,93,543,213
2020-04-28,RR,168,152,176,209,188,98,567,225
2020-04-29,RR,178,156,181,220,197,103,593,238
2020-04-30,RR,188,161,186,231,205,109,619,251
2020-05-01,RR,199,166,190,242,215,115,647,264
2020-05-02,RR,211,170,195,255,224,121,676,279
2020-05-03,RR,223,175,201,268,234,127,706,294
2020-05-04,RR,236,181,206,281,245,134,738,309
2020-05-05,RR,250,186,211,296,256,142,771,326
2020-05-06,RR,264,191,217,311,267,149,805,344
2020-05-07,RR,279,197,222,326,279,157,840,362
2020-05-08,RR,295,203,228,343,291,166,878,381
2020-05-09,RR,312,209,234,360,304,174,916,402
2020-05-10,RR,330,215,240,379,318,184,957,423
2020-05-11,RR,349,221,247,398,332,194,999,446
2020-05-12,RR,370,228,253,418,346,204,1042,470
2020-05-13,RR,391,234,260,439,361,215,1088,495
2020-05-14,RR,414,241,266,461,377,226,1135,521
2020-05-15,RR,437,248,273,485,394,238,1184,549
2020-05-16,RR,463,256,281,509,411,251,1236,578
2020-05-17,RR,489,263,288,535,429,264,1289,608
2020-05-18,RR,517,271,295,562,447,278,1344,641
2020-05-19,RR,547,279,303,590,466,293,1401,674
2020-05-20,RR,578,287,311,620,486,308,1461,710
2020-05-21,RR,612,295,319,651,507,324,1523,747
2020-05-22,RR,647,304,328,684,528,341,1587,786
2020-05-23,RR,684,313,336,719,551,359,1654,827
2020-05-24,RR,723,322,345,755,574,378,1723,871
2020-05-25,RR,764,332,354,793,598,397,1795,916
2020-05-26,RR,808,341,363,833,623,418,1869,963
2020-05-27,RR,854,351,372,875,648,440,1946,1013
2020-05-28,RR,903,361,382,919,675,462,2025,1066
2020-05-29,RR,955,372,392,965,703,486,2108,1120
2020-05-30,RR,1009,383,402,1014,731,511,2193,1178
2020-05-31,RR,1066,394,413,1064,761,537,2281,1238
2020-06-01,RR,1127,405,423,1118,791,564,2372,1301
2020-06-02,RR,1191,417,434,1174,823,593,2466,1367
2020-06-03,RR,1259,429,446,1232,855,623,2562,1436
2020-06-04,RR,1330,442,457,1294,889,654,2662,1508
2020-06-05,RR,1405,455,469,1359,924,687,2765,1584
2020-06-06,RR,1484,468,481,1426,959,721,2871,1663
2020-06-07,RR,1568,481,494,1498,996,757,2980,1745
2020-06-08,RR,1656,495,506,1572,1034,794,3092,1832
2020-06-09,RR,1749,510,519,1650,1073,833,3207,1921
2020-06-10,RR,1847,524,533,1732,1113,874,3325,2015
2020-06-11,RR,1950,540,547,1818,1154,916,3446,2113
2020-06-12,RR,2059,555,561,1908,1196,960,3570,2215
2020-06-13,RR,2173,571,575,2003,1239,1006,3697,2321
2020-06-14,RR,2294,588,590,2102,1283,1054,3826,2431
2020-06-15,RR,2421,604,605,2205,1329,1103,3959,2546
2020-06-16,RR,2554,622,621,2314,1375,1155,4094,2665
2020-06-17,RR,2695,640,637,2428,1422,1208,4232,2788
2020-06-18,RR,2842,658,653,2547,1470,1264,4372,2916
2020-06-19,RR,2998,677,670,2672,1519,1319,4515,3044
2020-06-20,RR,3161,696,687,2802,1568,1359,4660,3140
2020-06-21,RR,3332,716,704,2939,1619,1387,4807,3209
2020-06-22,RR,3513,736,722,3082,1670,1408,4956,3262
2020-06-23,RR,3702,757,741,3231,1722,1424,5106,3305
2020-06-24,RR,3787,779,760,3388,1775,1438,5258,3340
2020-06-25,RR,3779,801,779,3552,1828,1450,5412,3370
2020-06-26,RR,3772,824,799,3723,1881,1460,5566,3397
2020-06-27,RR,3763,847,819,3902,1935,1470,5721,3422
2020-06-28,RR,3754,871,840,4084,1989,1479,5876,3444
2020-06-29,RR,3745,896,861,4219,2044,1488,6032,3465
2020-06-30,RR,3735,921,883,4305,2098,1495,6187,3485
2020-07-01,RR,3725,947,906,4356,2153,1503,6342,3503
2020-07-02,RR,3715,974,928,4384,2207,1510,6496,3520
2020-07-03,RR,3704,1001,952,4394,2261,1516,6649,3535
2020-07-04,RR,3693,1029,976,4393,2315,1522,6801,3550
2020-07-05,RR,3681,1058,1000,4383,2368,1528,6950,3563
2020-07-06,RR,3669,1087,1026,4367,2421,1533,7097,3575
2020-07-07,RR,3657,1117,1051,4346,2473,1537,7241,3586
2020-07-08,RR,3644,1148,1078,4323,2524,1541,7382,3596
2020-07-09,RR,3631,1180,1105,4298,2574,1545,7520,3604
2020-07-10,RR,3618,1213,1132,4271,2623,1548,7654,3612
2020-07-11,RR,3604,1246,1161,4243,2670,1550,7783,3618
2020-07-12,RR,3590,1281,1190,4214,2716,1552,7908,3623
2020-07-13,RR,3575,1316,1219,4185,2761,1553,8027,3626
2020-07-14,RR,3560,1352,1250,4155,2803,1554,8141,3629
2020-07-15,RR,3545,1389,1281,4125,2844,1555,8249,3630
2020-07-16,RR,3530,1427,1312,4094,2883,1555,8351,3630
2020-07-17,RR,3514,1466,1345,4064,2920,1554,8446,3629
2020-07-18,RR,3498,1506,1378,4033,2954,1553,8534,3627
2020-07-19,RR,3481,1546,1412,4002,2986,1551,8614,3623
2020-07-20,RR,3465,1588,1447,3972,3016,1549,8688,3618
2020-07-21,RR,3448,1631,1482,3941,3043,1546,8753,3612
2020-07-22,RR,3431,1675,1518,3910,3068,1543,8810,3605
2020-07-23,RR,3413,1719,1556,3879,3089,1539,8860,3597
2020-07-24,RR,3395,1765,1593,3848,3108,1535,8900,3587
2020-07-25,RR,3377,1812,1632,3817,3124,1530,8932,3577
2020-07-26,RR,3359,1860,1672,3786,3137,1525,8956,3565
2020-07-27,RR,3340,1909,1712,3756,3147,1519,8970,3552
2020-07-28,RR,3322,1960,1754,3725,3155,1513,8976,3538
2020-07-29,RR,3303,2011,1796,3694,3159,1507,8973,3523
2020-07-30,RR,3283,2063,1839,3663,3160,1500,8962,3507
2020-07-31,RR,3264,2117,1883,3632,3158,1492,8941,3489
2020-08-01,RR,3244,2172,1928,3602,3153,1484,8912,3471
2020-08-02,RR,3225,2228,1974,3571,3144,1476,8875,3452
2020-08-03,RR,3205,2285,2021,3541,3133,1467,8829,3432
2020-08-04,RR,3184,2344,2069,3510,3120,1458,8775,3411
2020-08-05,RR,3164,2403,2118,3480,3103,1448,8713,3389
2020-08-06,RR,3144,2464,2168,3449,3083,1438,8644,3366
2020-08-07,RR,3123,2526,2219,3419,3061,1428,8567,3342
2020-08-08,RR,3102,2590,2271,3389,3036,1417,8483,3317
2020-08-09,RR,3081,2655,2324,3358,3009,1406,8392,3292
2020-08-10,RR,3060,2720,2378,3328,2979,1395,8295,3266
2020-08-11,RR,3039,2788,2434,3298,2947,1383,8192,3239
2020-08-12,RR,3017,2856,2490,3269,2912,1371,8083,3211
2020-08-13,RR,2996,2926,2547,3239,2876,1359,7968,3183
2020-08-14,RR,2974,2997,2606,3209,2838,1347,7849,3154
2020-08-15,RR,2952,3069,2665,3180,2798,1334,7725,3124
2020-08-16,RR,2930,3143,2726,3150,2756,1321,7597,3094
2020-08-17,RR,2908,3218,2788,3121,2712,1308,7465,3063
2020-08-18,RR,2886,3294,2851,3092,2667,1294,7329,3032
2020-08-19,RR,2864,3372,2915,3062,2621,1281,7191,3000
2020-08-20,RR,2842,3451,2980,3033,2574,1267,7050,2968
2020-08-21,RR,2820,3531,3047,3005,2525,1253,6906,2935
2020-08-22,RR,2798,3612,3114,2976,2476,1238,6761,2902
2020-08-23,RR,2775,3695,3183,2947,2426,1224,6614,2868
2020-08-24,RR,2753,3778,3253,2919,2375,1209,6466,2835
2020-08-25,RR,2730,3863,3325,2891,2324,1195,6317,2801
2020-08-26,RR,2708,3950,3397,2862,2272,1180,6167,2766
