day,state,suscetivel,infectado,recuperado
2020-03-16,CE,0.9999977405656372,2.2594343628666264e-06,0.0
2020-03-17,CE,0.9999971912435202,2.498515074805744e-06,3.1024140521848735e-07
2020-03-18,CE,0.9999965843233188,2.7626639282989762e-06,6.530127530013029e-07
2020-03-19,CE,0.9999959123478095,3.0551264380636064e-06,1.0325257526436477e-06
2020-03-20,CE,0.9999951745049344,3.376256034495402e-06,1.4492390313600575e-06
2020-03-21,CE,0.9999943488946103,3.7355839560778695e-06,1.9155214338818446e-06
2020-03-22,CE,0.9999934430454528,4.1298336287729195e-06,2.4271209185929513e-06
2020-03-23,CE,0.9999924431297422,4.56502301554644e-06,2.9918472423807023e-06
2020-03-24,CE,0.999991337502163,5.046220287483282e-06,3.6162775497059763e-06
2020-03-25,CE,0.9999901150409395,5.578265766576982e-06,4.306693294109431e-06
2020-03-26,CE,0.999988762136457,6.167082360013097e-06,5.070781183189082e-06
2020-03-27,CE,0.9999872648435336,6.818738997246062e-06,5.916417469335649e-06
2020-03-28,CE,0.9999856101732629,7.538888483761563e-06,6.850938253550606e-06
2020-03-29,CE,0.9999837822029669,8.334460282588079e-06,7.883336750686878e-06
2020-03-30,CE,0.999981758716876,9.215122353422798e-06,9.026160770788158e-06
2020-03-31,CE,0.9999795215053038,1.0188799371974999e-05,1.0289695324402947e-05
2020-04-01,CE,0.9999770515274803,1.1263777641225987e-05,1.1684694878659603e-05
2020-04-02,CE,0.9999743184577192,1.2453253910557738e-05,1.3228288370336873e-05
2020-04-03,CE,0.9999712948799029,1.3769158878355076e-05,1.4935961218903934e-05
2020-04-04,CE,0.9999679554049496,1.5222541211321482e-05,1.6822053839204067e-05
2020-04-05,CE,0.9999642654325742,1.6828457330720578e-05,1.8906110095260516e-05
2020-04-06,CE,0.99996018362849,1.8604893592362256e-05,2.121147791775863e-05
2020-04-07,CE,0.9999556735062785,2.056772703631718e-05,2.375876668529527e-05
2020-04-08,CE,0.9999506853491776,2.2738590448847684e-05,2.6576060373631934e-05
2020-04-09,CE,0.9999451691604149,2.5139238432335932e-05,2.969160115286212e-05
2020-04-10,CE,0.9999390751836682,2.7791320815082526e-05,3.313349551684618e-05
2020-04-11,CE,0.9999323338437849,3.072510834380416e-05,3.69410478715193e-05
