day,state,suscetivel,exposto,infectado,recuperado
2020-03-18,TO,0.9999682108965418,3.178910345827298e-05,3.178910345827298e-05,0.0
2020-03-19,TO,0.9999619887537341,2.8084317343953484e-05,3.6796736935351966e-05,4.919295445004385e-06
2020-03-20,TO,0.9999550060931783,2.6081877331016558e-05,4.026123209162014e-05,1.0439900857329839e-05
2020-03-21,TO,0.9999474894538344,2.5091069424976622e-05,4.2825858384288065e-05,1.638272181460677e-05
2020-03-22,TO,0.9999395621889915,2.472910794691673e-05,4.4847565765295086e-05,2.265024075449656e-05
2020-03-23,TO,0.9999313008014268,2.475253745963345e-05,4.655378520137996e-05,2.918197937053286e-05
2020-03-24,TO,0.9999227504773525,2.5010991815582933e-05,4.808541622261689e-05,3.5942218067590755e-05
2020-03-25,TO,0.999913934744237,2.5415576393773185e-05,4.952642128783052e-05,4.291236153972131e-05
2020-03-26,TO,0.9999048607427117,2.5936885465449644e-05,5.0904708480646606e-05,5.008676680062501e-05
2020-03-27,TO,0.9998955395071998,2.6514922187660444e-05,5.227795582487691e-05,5.7456718246048676e-05
2020-03-28,TO,0.9998859693365947,2.7142456276624433e-05,5.365374582672521e-05,6.502356476047948e-05
2020-03-29,TO,0.999876148805248,2.7806075965942447e-05,5.504578299330013e-05,7.278843925123633e-05
2020-03-30,TO,0.9998660747629599,2.8497097483265236e-05,5.646340461553461e-05,8.075383839986305e-05
2020-03-31,TO,0.9998557422194928,2.9211824030503933e-05,5.7911345874445724e-05,8.892371406080405e-05
2020-04-01,TO,0.9998451453025936,2.994872869929747e-05,5.939235634773489e-05,9.730271581790683e-05
2020-04-02,TO,0.999834277702679,3.070697603720598e-05,6.090858527237363e-05,0.00010589583946991055
2020-04-03,TO,0.9998231309802303,3.148628988796478e-05,6.246206602432769e-05,0.00011470976731584736
2020-04-04,TO,0.9998117012698391,3.2286630566086646e-05,6.40536430852733e-05,0.0001237475599680967
2020-04-05,TO,0.999799979129455,3.310797999812757e-05,6.568529991801831e-05,0.00013301669408747593
2020-04-06,TO,0.9997879652006806,3.395014574760267e-05,6.735709565386048e-05,0.0001425166613765268
2020-04-07,TO,0.9997756337366958,3.481420987999374e-05,6.907330606223081e-05,0.00015226785082065816
2020-04-08,TO,0.999762995705968,3.5699722577843186e-05,7.083209832674855e-05,0.00016226157658587076
2020-04-09,TO,0.9997500394036951,3.660729958875265e-05,7.263529100087865e-05,0.00017250710917381446
2020-04-10,TO,0.9997367546108678,3.753745010312672e-05,7.448450051652219e-05,0.000183012541971073
2020-04-11,TO,0.9997231318665507,3.8490628944352266e-05,7.638124018024501e-05,0.00019378536778315718
2020-04-12,TO,0.9997091617098085,3.946729093581611e-05,7.832702329861298e-05,0.00020483307941557762
2020-04-13,TO,0.9996948347087231,4.046886178309295e-05,8.032238602625603e-05,0.00021616314692618943
2020-04-14,TO,0.99968014171695,4.150031944589344e-05,8.23642515165886e-05,0.0002277828155462353
2020-04-15,TO,0.9996650748905594,4.255871701332097e-05,8.445719449798214e-05,0.00023969830138798027
2020-04-16,TO,0.9996496236686934,4.3642574957549554e-05,8.660488713489908e-05,0.0002519179726729267
2020-04-17,TO,0.9996337838104078,4.475195695742787e-05,8.880814649255792e-05,0.0002644451896009227
2020-04-18,TO,0.9996175380753445,4.5890268364170156e-05,9.106714816298816e-05,0.00027729361158711197
2020-04-19,TO,0.999600879375595,4.705750033784967e-05,9.33833717755153e-05,0.0002904688557503963
2020-04-20,TO,0.9995837974401266,4.825411900925334e-05,9.57584825747481e-05,0.00030397906174823864
2020-04-21,TO,0.9995662822520307,4.9480862348616445e-05,9.819382064300232e-05,0.00031783216843655836
2020-04-22,TO,0.9995483238057221,5.073845956827739e-05,0.00010069073105196324,0.00033203610711662673
2020-04-23,TO,0.9995299092578215,5.202785878042756e-05,0.00010325092952707276,0.000346601057329895
2020-04-24,TO,0.9995110260442673,5.334998851723994e-05,0.00010587609354773287,0.0003615369771265815
2020-04-25,TO,0.9994916618383513,5.470575049933512e-05,0.00010856787671151372,0.0003768536378968529
2020-04-26,TO,0.9994718049805705,5.6095971079469844e-05,0.00011132786548363048,0.000392560286325363
2020-04-27,TO,0.9994514433896392,5.752152425523204e-05,0.0001141576887679394,0.00040866650079656873
2020-04-28,TO,0.9994305649469791,5.898328823677554e-05,0.000117058979220552,0.0004251818890225
2020-04-29,TO,0.9994091566903686,6.048216098888172e-05,0.00012003352208203179,0.00044211673001940733
2020-04-30,TO,0.9993872041383688,6.201907605010262e-05,0.0001230833773642222,0.00045948251167585744
2020-05-01,TO,0.9993646939479044,6.359494030322928e-05,0.00012621039919026182,0.0004772898160610189
2020-05-02,TO,0.9993416128190932,6.521065961965929e-05,0.000129416433871301,0.0004955491908747605
2020-05-03,TO,0.9993179462192904,6.686716709372393e-05,0.00013270355177900968,0.000514272165295906
2020-05-04,TO,0.999293678288707,6.856542512690353e-05,0.00013607406449987717,0.0005334713251252531
2020-05-05,TO,0.9992687943839901,7.030636925828396e-05,0.00013953006252732003,0.0005531582876833063
2020-05-06,TO,0.9992432798727088,7.209093479352344e-05,0.00014307363436176146,0.0005733446615949292
2020-05-07,TO,0.9992171183889529,7.392017579066495e-05,0.00014670710213602933,0.0005940434365793935
2020-05-08,TO,0.9991902926456168,7.579520941445998e-05,0.0001504329121385388,0.0006152683362892106
2020-05-09,TO,0.9991627865358254,7.771707197769633e-05,0.00015425335159025775,0.0006370321440657118
2020-05-10,TO,0.9991345839420305,7.968680121301414e-05,0.00015817070845628491,0.0006593476517591913
2020-05-11,TO,0.9991056665140012,8.170573187319144e-05,0.00016218742636711498,0.0006822294312174304
2020-05-12,TO,0.9990760152885859,8.377528024955668e-05,0.0001663059916868123,0.0007056925429366088
2020-05-13,TO,0.9990456124808255,8.58967058951857e-05,0.0001705288086344313,0.0007297511081038826
2020-05-14,TO,0.9990144402641732,8.807127486894693e-05,0.0001748582833267301,0.0007544192810901343
2020-05-15,TO,0.9989824780992657,9.030067761544237e-05,0.0001792969456714308,0.0007797133809064084
2020-05-16,TO,0.9989497052135212,9.25866410633349e-05,0.00018384733621845374,0.0008056499126559226
2020-05-17,TO,0.9989161019649838,9.493071526925924e-05,0.00018851194392512988,0.0008322444792808049
2020-05-18,TO,0.9988816486151136,9.733445854425874e-05,0.00019329326891459907,0.000859512760886569
2020-05-19,TO,0.9988463223106111,9.979969539881462e-05,0.00019819417140024733,0.000887472926048905
2020-05-20,TO,0.9988101003837627,0.00010232823448250325,0.00020321749014027968,0.0009161429950735109
