epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,day,totalCasesPred
12,2020-03-21,Brazil,PR,TOTAL,0,0,7,44,0,43,0.0,0.38482,0.0,,,,,10,202
13,2020-03-22,Brazil,PR,TOTAL,0,0,10,54,0,50,0.0,0.47228000000000003,0.0,,,,,11,222
13,2020-03-23,Brazil,PR,TOTAL,0,0,6,60,0,56,0.0,0.52475,0.0,,,,,12,243
13,2020-03-24,Brazil,PR,TOTAL,0,0,10,70,0,65,0.0,0.61221,0.0,,1844.0,,,13,265
13,2020-03-25,Brazil,PR,TOTAL,0,0,27,97,0,81,0.0,0.84835,0.0,7.0,3588.0,,,14,287
13,2020-03-26,Brazil,PR,TOTAL,0,0,9,106,0,102,0.0,0.92706,0.0,7.0,3487.0,,,15,311
13,2020-03-27,Brazil,PR,TOTAL,2,2,19,125,2,119,0.017490000000000002,1.09323,0.016,7.0,1078.0,,,16,335
13,2020-03-28,Brazil,PR,TOTAL,0,2,12,137,2,133,0.017490000000000002,1.1981899999999999,0.0146,7.0,968.0,,,17,360
14,2020-03-29,Brazil,PR,TOTAL,0,2,15,152,2,148,0.017490000000000002,1.3293700000000002,0.01316,7.0,968.0,,,18,386
14,2020-03-30,Brazil,PR,TOTAL,1,3,8,160,3,155,0.02624,1.39934,0.01875,7.0,484.0,,,19,413
14,2020-03-31,Brazil,PR,TOTAL,0,3,25,185,3,179,0.02624,1.61799,0.01622,7.0,521.0,,,20,441
14,2020-04-01,Brazil,PR,TOTAL,0,3,44,229,3,224,0.02624,2.0028099999999998,0.0131,7.0,521.0,,,21,470
14,2020-04-02,Brazil,PR,TOTAL,1,4,29,258,4,252,0.034980000000000004,2.25644,0.0155,7.0,521.0,,,22,500
14,2020-04-03,Brazil,PR,TOTAL,1,5,49,307,4,301,0.04373,2.68498,0.01629,7.0,521.0,,,23,532
14,2020-04-04,Brazil,PR,TOTAL,2,7,94,401,6,395,0.061220000000000004,3.5071,0.01746,7.0,521.0,,,24,564
15,2020-04-05,Brazil,PR,TOTAL,3,10,44,445,9,438,0.08746,3.89192,0.02247,7.0,183.0,,,25,598
15,2020-04-06,Brazil,PR,TOTAL,4,14,21,466,11,458,0.12244000000000001,4.07558,0.030039999999999997,7.0,156.0,,,26,633
