epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,day,totalCasesPred
15,2020-04-07,Brazil,PR,TOTAL,1,15,45,511,15,503,0.13119,4.46914,0.02935,121.0,286.0,,,27,669
15,2020-04-08,Brazil,PR,TOTAL,2,17,39,550,17,539,0.14868,4.810230000000001,0.030910000000000003,121.0,333.0,,,28,706
15,2020-04-09,Brazil,PR,TOTAL,7,24,71,621,22,609,0.2099,5.43119,0.03865,121.0,346.0,,,29,745
15,2020-04-10,Brazil,PR,TOTAL,2,26,34,655,25,643,0.22739,5.72855,0.039689999999999996,121.0,502.0,,,30,785
15,2020-04-11,Brazil,PR,TOTAL,1,27,33,688,26,676,0.23614000000000002,6.01716,0.03924,121.0,568.0,,,31,827
16,2020-04-12,Brazil,PR,TOTAL,4,31,62,750,30,738,0.27111999999999997,6.559410000000001,0.04133,121.0,472.0,,,32,871
16,2020-04-13,Brazil,PR,TOTAL,2,33,18,768,31,756,0.28861,6.71683,0.04297,130.0,411.0,,,33,915
16,2020-04-14,Brazil,PR,TOTAL,6,39,35,803,36,791,0.34109,7.022939999999999,0.04857,134.0,231.0,,,34,962
16,2020-04-15,Brazil,PR,TOTAL,2,41,13,816,38,803,0.35858,7.136639999999999,0.05025,147.0,377.0,,,35,1010
16,2020-04-16,Brazil,PR,TOTAL,2,43,29,845,41,832,0.37606999999999996,7.39027,0.05089,156.0,377.0,,,36,1060
16,2020-04-17,Brazil,PR,TOTAL,1,44,42,887,42,874,0.38482,7.7575899999999995,0.04961,296.0,377.0,,,37,1112
16,2020-04-18,Brazil,PR,TOTAL,5,49,73,960,46,945,0.42855,8.39604,0.051039999999999995,296.0,377.0,,,38,1166
17,2020-04-19,Brazil,PR,TOTAL,3,52,42,1002,48,987,0.45478999999999997,8.76337,0.0519,296.0,343.0,,,39,1222
17,2020-04-20,Brazil,PR,TOTAL,1,53,20,1022,51,1007,0.46353,8.93829,0.05186,419.0,343.0,,,40,1280
17,2020-04-21,Brazil,PR,TOTAL,2,55,17,1039,51,1024,0.48102,9.086969999999999,0.05294,439.0,447.0,,,41,1340
17,2020-04-22,Brazil,PR,TOTAL,5,60,38,1077,57,1063,0.52475,9.419310000000001,0.05571,502.0,549.0,,,42,1402
