date,state,newCases,mortes,TOTAL,totalCasesPred,residuo_quadratico,res_quad_padronizado,suscetivel,infectado,recuperado
2020-02-25,SP,1.0,0.0,1.0,1.0020133383973422,4.053531502212419e-06,2.0247275202758466e-06,45919047.99798666,1.0020133383973422,0.0
2020-02-26,SP,0.0,0.0,1.0,1.4363421131669318,0.19039443972298353,0.07814766189609357,45919047.563657895,1.2273262354107592,0.20901587775617242
2020-02-27,SP,0.0,0.0,1.0,1.9681183601225438,0.9372531592063634,0.31577351220173966,45919047.03188164,1.5031910929983519,0.46492726712419186
2020-02-28,SP,1.0,0.0,2.0,2.619555250333363,0.3838487082156361,0.10604858378119342,45919046.38044475,1.841131239480521,0.7784240108528421
2020-02-29,SP,0.0,0.0,2.0,3.4173822169926327,2.0089723490469504,0.4547879830997882,45919045.58261779,2.2550128634569093,1.1623693535357227
2020-03-01,SP,0.0,0.0,2.0,4.394512008638467,5.733687759513824,1.0628742229755388,45919044.605487995,2.7619098156213537,1.6326021930171124
2020-03-02,SP,0.0,0.0,2.0,5.591336280284576,12.897696278088254,1.9567650214823218,45919043.40866372,3.38277571023152,2.2085605700530557
2020-03-03,SP,0.0,0.0,2.0,7.0571924355180995,25.575195329861486,3.1742068387394706,45919041.94280756,4.143204864518094,2.9139875710000034
2020-03-04,SP,1.0,0.0,3.0,8.852583465535904,34.252733221064254,3.4765230196607293,45919040.14741653,5.074583862846296,3.777999602689606
2020-03-05,SP,3.0,0.0,6.0,11.051554087140138,25.518198695302235,2.1174197543976474,45919037.94844591,6.215324201861103,4.836229885279033
2020-03-06,SP,4.0,0.0,10.0,13.744754058743728,14.023182960477628,0.9510625205824843,45919035.25524594,7.612451415285155,6.132302643458574
2020-03-07,SP,3.0,0.0,13.0,17.04342396554747,16.349277365163616,0.906107255273794,45919031.956576034,9.32367273726308,7.719751228284389
2020-03-08,SP,3.0,0.0,16.0,21.083621341815647,25.84320594696352,1.1702431203178185,45919027.916378655,11.419569440475321,9.66405190134032
2020-03-09,SP,0.0,0.0,16.0,26.032012167070533,100.64126812025121,3.723040205007342,45919022.96798783,13.986601223620573,12.045410943449951
2020-03-10,SP,3.0,0.0,19.0,32.092760593039785,171.4203799466555,5.179996376086841,45919016.90723941,17.13068031076443,14.962080282275348
2020-03-11,SP,11.0,0.0,30.0,39.515921056551164,90.55275355451383,2.234991854883971,45919009.484078944,20.981524918410166,18.534396138140988
2020-03-12,SP,16.0,0.0,46.0,48.60775052326946,6.800362791612137,0.13708266792751064,45919000.39224947,25.698008794234564,22.909741729034888
