date,state,newCases,mortes,TOTAL,totalCasesPred,residuo_quadratico,res_quad_padronizado,mortes_pred,sucetivel,exposto,Infectado_assintomatico,Infectado_sintomatico,Hospitalizado,UTI,recuperado
2020-06-23,MA,1332,1797,72021,79823.27134414157,30788870.34206404,114571.38581750257,2635.0349375267097,6620849.284342335,55200.78484514219,35419.597738534896,9996.550463435444,1593.4610959767888,633.9225011126435,348852.36407593486
2020-06-24,MA,1293,1836,73314,82617.90934533061,43685801.491601355,158309.3807462401,2735.3741585527187,6605489.511054398,56587.36812713352,36346.19724013943,10259.286128546953,1638.084098810805,651.3118329565091,361473.86735946004
2020-06-25,MA,1611,1871,74925,85482.2469901504,56195735.451253794,199386.23743692215,2838.4744913784803,6589766.55200361,57988.63895382271,37285.103283394434,10525.59284768917,1683.5005521982775,668.9864146702098,374424.15145323484
2020-06-26,MA,NA,NA,NA,88416.99791623332,NA,NA,2944.3820906634464,6573677.952488804,59403.4838382134,38235.71654799107,10795.306214368067,1729.6955871962787,686.9387301189917,387707.5245026422
2020-06-27,MA,NA,NA,NA,91422.80518830738,NA,NA,3053.1415369492697,6557221.68669362,60830.71327302731,39197.371797646265,11068.243767095935,1776.6517542685615,705.1604321034946,401328.0307452869
2020-06-28,MA,NA,NA,NA,94500.25607504482,NA,NA,3164.796334235848,6540396.083240841,62269.06229211995,40169.34662735547,11344.207251222475,1824.349386971281,723.6423603008336,415289.51250695164
2020-06-29,MA,NA,NA,NA,97649.87503628113,NA,NA,3279.3886464248712,6523199.878636853,63717.17208992636,41150.8726385575,11622.984884822088,1872.766425317851,742.3742344099361,429595.56244368677
2020-06-30,MA,NA,NA,NA,100872.10978220926,NA,NA,3396.9587958552047,6505632.3086722605,65173.56832487712,42141.14510662341,11904.3531291541,1921.8780690643953,761.3442878670625,444249.4436142955
2020-07-01,MA,NA,NA,NA,104167.33742200995,NA,NA,3517.5454804435312,6487693.0457584625,66636.6930396723,43139.30460082573,12188.072930553983,1971.6570617109285,780.5397063043844,459254.14142202464
2020-07-02,MA,NA,NA,NA,107535.85786524626,NA,NA,3641.1855295877294,6469382.235217041,68104.90136491154,44144.43783046612,12473.889788337958,2022.0735794499155,799.9465308304583,474612.3301593724
2020-07-03,MA,NA,NA,NA,110977.88384545097,NA,NA,3767.9135464091373,6450700.509342423,69576.4973385072,45155.550185386885,12761.527642849476,2073.0950365225654,819.5501773789099,490326.35673052125
2020-07-04,MA,NA,NA,NA,114493.53959651287,NA,NA,3897.7618513410416,6431648.996221866,71049.731703754,46171.56772970669,13050.689303840074,2124.6860771051065,839.3353833418878,506398.2317290429
2020-07-05,MA,NA,NA,NA,118082.85761537593,NA,NA,4030.760270363991,6412229.374646047,72522.76318525775,47191.37128960505,13341.063927313317,2176.8084793176886,859.2855835352934,522829.5726185576
2020-03-14,MS,2,0,2,0,2,2,0,2778963.3758387812,5.639550307478487,7.114683543558054,9.869927367771325,0,0,0
2020-03-15,MS,0,0,2,0.5357580408046628,1.0720079707354224,0.8650419410865449,0.003380296236290572,2778951.1928835986,15.143715286113052,7.245402617124286,8.167370382292395,0.09375458720194439,0.07907813219416872,4.074415100303612
2020-03-16,MS,2,0,4,1.4575045032774985,3.2322175738207335,2.0618597335080886,0.012320583885006123,2778940.503417596,21.22444897602183,8.682171670678795,7.183781414758484,0.16734157899892246,0.13468724099587495,8.09183093839979
2020-03-17,MS,2,0,6,2.6295666358654275,5.680232260246983,2.9816755787968368,0.025366482264514274,2778930.4231750304,25.444380878850403,10.617640046865917,6.635369281766347,0.227577865217905,0.17579718592538407,12.450693228616448
2020-03-18,MS,1,0,7,3.984034109567547,4.548892417023683,2.038043606634762,0.04164831083423031,2778920.488845211,28.60637332935717,12.704211695996484,6.369032688932093,0.2785423984897453,0.20757542919001834,17.303770935724536
2020-03-19,MS,2,0,9,5.480956998458353,6.193666832304592,2.4339834983717714,0.06058067274256463,2778910.407256454,31.203347642001507,14.764755897575332,6.2871981401308785,0.3230889249338754,0.23346795772407886,22.72030431051442
