beta1,beta2,beta3,gamma,pop,state
0.168648798380772,0.09909968970922343,0.053831594485722466,0.04761904761904762,9557071,PE
0.30786994158403064,0.2431072380795962,0.20384176914112742,0.19999999347912292,3273227,PI
0.2673249167586116,0.20246397308116112,0.2099250117921637,0.19999997303198316,1777225,RO
0.23694161150258486,0.20854034363678747,0.17843522484471627,0.17019475962663663,3015268,DF
0.2687587593563761,0.2266924520053743,0.21482227427483683,0.1999999993787927,11377239,RS
0.18469836432643555,0.14072861150975483,0.11767701621450331,0.12067872422503154,3484466,MT
0.3027429083152653,0.21488678567607555,0.19217350562600144,0.19999999999957063,8602865,PA
0.2348827692531163,0.006690851114318214,0.18777704498969996,0.18303325846325297,605761,RR
0.21865357367729313,0.25555617399824054,0.2058444372923812,0.19999998827898824,11433957,PR
0.324815900692944,0.239219290869253,0.16015816350576534,0.16561156981904507,7075181,MA
0.19577939598630478,0.14929103471634272,0.11726733154028227,0.1090043624510792,14873064,BA
0.2680789601911288,0.19668161799969583,0.20864933211450692,0.19999998439546357,3337357,AL
0.4363710326877642,0.2369568976428085,0.19472886703397146,0.1999989605927493,7164788,SC
0.1496177934923627,0.08832740632142778,0.031285608582092374,0.04761904761904762,845731,AP
0.17088812118071664,0.11129026882115944,0.06191923075134557,0.06587874384227312,4144597,AM
0.26114248219208275,0.22130457804449544,0.18359756100421007,0.1839054331630599,9132078,CE
0.23917530684517993,0.2750624449366984,0.15377642375328274,0.15644125315226678,881935,AC
0.36924472458951896,0.24531093558761144,0.19823321197475496,0.19999897917306925,4018650,ES
0.2905730573916515,0.2553156577845476,0.21949674606601266,0.1999993316649125,2778986,MS
0.2428853767639219,0.14774228236182707,0.09176905342926735,0.09352348683991324,17264943,RJ
0.3471218959872575,0.2659231246551216,0.20084257812174044,0.19997614807951006,4018127,PB
0.3313458267782545,0.23527763773729862,0.21326089247788688,0.19999985830999076,45919049,SP
0.03611496885263873,0.1151534270368434,0.0732863910598658,0.04761904978117361,7018354,GO
0.14152952349811482,0.10132073059602151,0.04743627718259299,0.05539346958661674,3506853,RN
0.30475153104671626,0.2266668475014949,0.16986459177586188,0.19999995415525906,2298696,SE
1.4018741778099963,0.2543473462515261,0.21016521788148726,0.19999994804095592,210147125,TOTAL
0.3636044779536751,0.2496039350168752,0.20875156823869154,0.19999999370479588,21168791,MG
0.28438589515972024,0.19538387994463277,0.22776743337082897,0.19999999209342262,1572866,TO
