UF,city,date,ibgeID,mortes,newCases,TOTAL,totalCasesPred,residuo_quadratico,res_quad_padronizado,sucetivel,infectado,recuperado
SP,São Paulo/SP,2020-02-25,3550308,0.0,1.0,1.0,1.0,0.0,0.0,12142620.23,1.0,0.0
SP,São Paulo/SP,2020-02-26,3550308,0.0,0.0,1.0,1.585932811595761,0.3433172597045135,0.21349466111232798,12142619.644067187,1.3880030896394695,0.19792972195629138
SP,São Paulo/SP,2020-02-27,3550308,0.0,0.0,1.0,2.3959894573506832,1.948786565034255,1.0575017878073276,12142618.834010541,1.9244203471118182,0.47156911023886516
SP,São Paulo/SP,2020-02-28,3550308,0.0,1.0,2.0,3.516472720430979,2.2996895118113345,1.0821052617863092,12142617.713527279,2.6664012163511877,0.8500715040797915
SP,São Paulo/SP,2020-02-29,3550308,0.0,0.0,2.0,5.072420072639641,9.439765102758978,3.8307188958820415,12142616.157579927,3.6967451206617983,1.3756749519778433
SP,São Paulo/SP,2020-03-01,3550308,0.0,0.0,2.0,7.278136368520977,27.85872352470381,9.682665417294166,12142613.95186363,5.15736402302148,2.1207723454994976
SP,São Paulo/SP,2020-03-02,3550308,0.0,0.0,2.0,10.283186620276112,68.6111805863212,20.425796774933996,12142610.946813378,7.1472993360609935,3.1358872842151175
SP,São Paulo/SP,2020-03-03,3550308,0.0,0.0,2.0,14.511289680384731,156.53236946650148,39.74478985220723,12142606.71871032,9.947136082176105,4.564153598208627
SP,São Paulo/SP,2020-03-04,3550308,0.0,1.0,3.0,20.327975944301937,300.2587503263066,65.0160905531262,12142600.902024057,13.798926842730246,6.529049101571691
SP,São Paulo/SP,2020-03-05,3550308,0.0,3.0,6.0,28.415639119973115,502.46087715686906,92.64310615905123,12142592.81436088,19.154549569630177,9.261089550342936
SP,São Paulo/SP,2020-03-06,3550308,0.0,0.0,6.0,39.538869159206534,1124.8557444783753,176.6692704545454,12142581.691130841,26.520311290881477,13.018557868325056
SP,São Paulo/SP,2020-03-07,3550308,0.0,6.0,12.0,54.9876177531268,1847.9352800889424,246.96804421832763,12142566.242382247,36.75040943060693,18.23720832251987
SP,São Paulo/SP,2020-03-08,3550308,0.0,3.0,15.0,76.32579576746059,3760.853226512287,427.6851644097648,12142544.90420423,50.88045285541965,25.44534291204095
SP,São Paulo/SP,2020-03-09,3550308,0.0,0.0,15.0,105.88079217311895,8259.318386013638,798.9035958481062,12142515.349207826,70.45161426354983,35.42917790956911
SP,São Paulo/SP,2020-03-10,3550308,0.0,3.0,18.0,146.71060813137154,16566.420645547485,1363.084694935604,12142474.519391866,97.48886144491323,49.22174668645831
SP,São Paulo/SP,2020-03-11,3550308,0.0,11.0,29.0,202.8797653186748,30234.172787277425,2117.439586823633,12142418.35023468,134.68365236161358,68.19611295706123
SP,São Paulo/SP,2020-03-12,3550308,0.0,15.0,44.0,281.16959671798475,56249.41760737152,3348.597290516414,12142340.060403282,186.5264285059664,94.64316821201831
SP,São Paulo/SP,2020-03-13,3550308,0.0,0.0,44.0,388.61316799128235,118758.2355529878,6016.541590208889,12142232.616832009,257.67426311782435,130.938904873458
SP,São Paulo/SP,2020-03-14,3550308,0.0,18.0,62.0,537.3300862067454,225938.69085331197,9737.921781976922,12142083.899913792,356.1522726937117,181.1778135130337
SP,São Paulo/SP,2020-03-15,3550308,0.0,0.0,62.0,742.7688262613506,463446.19480925694,16993.402136996603,12141878.461173736,492.1895763412767,250.5792499200739
SP,São Paulo/SP,2020-03-16,3550308,0.0,83.0,145.0,936.3960429839914,626307.6968507195,20456.257926420472,12141684.83395701,593.3200153420999,343.0760276418915
SP,São Paulo/SP,2020-03-17,3550308,1.0,11.0,156.0,1061.154987322565,819305.5510749127,25139.228822819627,12141560.075012673,618.1699148335432,442.9850724890218
SP,São Paulo/SP,2020-03-18,3550308,3.0,58.0,214.0,1191.1343796205922,954791.5958365196,27653.237355198384,12141430.095620375,644.0585428024274,547.0758368181648
SP,São Paulo/SP,2020-03-19,3550308,5.0,45.0,259.0,1326.5590477090248,1139682.3203454,31279.290085243232,12141294.670952285,671.0305368641475,655.5285108448772
SP,São Paulo/SP,2020-03-20,3550308,9.0,47.0,306.0,1467.6557592374998,1349444.102969652,35212.34055442384,12141153.574240757,699.1309229093479,768.5248363281519
SP,São Paulo/SP,2020-03-21,3550308,9.0,0.0,306.0,1614.6586724956321,1712587.52109803,42606.70675354081,12141006.571327498,728.4061832295978,886.2524892660343
SP,São Paulo/SP,2020-03-22,3550308,9.0,0.0,306.0,1767.8316763486844,2136951.8499764046,50810.267717533985,12140853.398323646,758.9086588293792,1008.9230175193052
SP,São Paulo/SP,2020-03-23,3550308,9.0,0.0,306.0,1927.4234181912511,2629013.9010590008,59867.57736225293,12140693.806581803,790.6876872260549,1136.7357309651964
SP,São Paulo/SP,2020-03-24,3550308,9.0,0.0,306.0,2093.6802236189646,3195800.5819183514,69826.58543337106,12140527.549776375,823.7921484175847,1269.88807520138
SP,São Paulo/SP,2020-03-25,3550308,44.0,416.0,722.0,2266.8925264182926,2386692.918183095,50117.028074606846,12140354.337473575,858.2796257235576,1408.6129006947351
SP,São Paulo/SP,2020-03-26,3550308,53.0,177.0,899.0,2447.370850610899,2397452.2910215193,48451.962605962166,12140173.859149383,894.2116666202232,1553.159183990676
SP,São Paulo/SP,2020-03-27,3550308,62.0,145.0,1044.0,2635.3998140737335,2532553.3682339136,49323.395878650495,12139985.83018592,931.6447068459584,1703.7551072277752
SP,São Paulo/SP,2020-03-28,3550308,62.0,0.0,1044.0,2831.3222358348276,3194520.774709607,60025.30643427996,12139789.90776416,970.6466480623583,1860.6755877724695
SP,São Paulo/SP,2020-03-29,3550308,62.0,0.0,1044.0,3035.367687542109,3965545.266986806,71965.72935122576,12139585.862312453,1011.2630816202969,2024.1046059218118
SP,São Paulo/SP,2020-03-30,3550308,103.0,189.0,1233.0,3247.9920054542927,4060192.782044712,71231.53995340866,12139373.23799454,1053.584174151483,2194.40783130281
SP,São Paulo/SP,2020-03-31,3550308,121.0,652.0,1885.0,3469.504379235278,2510654.1278157737,42617.75704863748,12139151.72562076,1097.6712021614817,2371.8331770737964
SP,São Paulo/SP,2020-04-01,3550308,144.0,533.0,2418.0,3700.257776493687,1644185.0053785339,27025.641830163222,12138920.972223502,1143.5940489116779,2556.663727582009
SP,São Paulo/SP,2020-04-02,3550308,164.0,397.0,2815.0,3940.6608289190467,1267112.3017627154,20182.524183482736,12138680.569171077,1191.4335393126175,2749.227289606429
SP,São Paulo/SP,2020-04-03,3550308,186.0,387.0,3202.0,4191.111640706994,978341.8377820816,15110.338941002736,12138430.118359288,1241.2684373582547,2949.8432033487393
SP,São Paulo/SP,2020-04-04,3550308,212.0,294.0,3496.0,4452.028378732657,913990.2609421927,13696.633556682107,12138169.201621262,1293.1814552100686,3158.8469235225884
SP,São Paulo/SP,2020-04-05,3550308,220.0,116.0,3612.0,4723.849675645734,1236209.7012335246,17984.490947167476,12137897.380324349,1347.2593323804085,3376.590343265326
SP,São Paulo/SP,2020-04-06,3550308,244.0,142.0,3754.0,5007.031550825657,1570088.0673645516,22186.58627042021,12137614.19844917,1403.5921854047313,3603.439365420926
SP,São Paulo/SP,2020-04-07,3550308,296.0,504.0,4258.0,5302.0458826604245,1090031.8051001849,14968.437822838692,12137319.184117334,1462.2731851702738,3839.77269749015
SP,São Paulo/SP,2020-04-08,3550308,339.0,689.0,4947.0,5609.387419599365,438757.09364350507,5857.708083509786,12137011.842580397,1523.400037726659,4085.9873818727056
SP,São Paulo/SP,2020-04-09,3550308,384.0,530.0,5477.0,5929.5706131031275,204820.1598445407,2659.6498238997815,12136691.659386892,1587.0743153704848,4342.496297732643
SP,São Paulo/SP,2020-04-10,3550308,409.0,505.0,5982.0,6263.129562385317,79033.83084695962,998.579548612091,12136358.10043761,1653.401444974154,4609.728117411163
SP,São Paulo/SP,2020-04-11,3550308,422.0,149.0,6131.0,6610.62243016765,230037.67551992252,2829.0781748505906,12136010.607569827,1722.491505406235,4888.130924761415
SP,São Paulo/SP,2020-04-12,3550308,445.0,221.0,6352.0,6972.634172850874,385186.77651028876,4612.557453997057,12135648.595827144,1794.4597205601237,5178.17445229075
SP,São Paulo/SP,2020-04-13,3550308,456.0,66.0,6418.0,7349.765747348013,868187.4079310013,10126.216096371836,12135271.464252647,1869.4245102670632,5480.34123708095
SP,São Paulo/SP,2020-04-14,3550308,512.0,287.0,6705.0,7742.638877399449,1076694.439890788,12235.449378201814,12134878.591122596,1947.508351022461,5795.130526376987
SP,São Paulo/SP,2020-04-15,3550308,558.0,1059.0,7764.0,8151.8961599686645,150463.43091843577,1666.3836855027955,12134469.333840026,2028.8377951993955,6123.058364769269
SP,São Paulo/SP,2020-04-16,3550308,603.0,144.0,7908.0,8578.21740183917,449191.3657280483,4849.61835920499,12134043.012598155,2113.5465785103534,6464.670823328817
SP,São Paulo/SP,2020-04-17,3550308,643.0,836.0,8744.0,9022.331821180764,77468.60268180059,815.5343506672968,12133598.898178814,2201.7779409251407,6820.553880255623
SP,São Paulo/SP,2020-04-18,3550308,686.0,684.0,9428.0,9484.975266256542,3246.1809650039054,33.32972518982649,12133136.254733738,2293.67648903782,7191.2987772187225
SP,São Paulo/SP,2020-04-19,3550308,700.0,240.0,9668.0,9966.908684577396,89346.40171578941,894.9010987018216,12132654.321315417,2389.391709172366,7577.516975405031
SP,São Paulo/SP,2020-04-20,3550308,715.0,147.0,9815.0,10468.91863681746,427609.58357720467,4179.032769913006,12132152.311363177,2489.078065136963,7979.840571680497
SP,São Paulo/SP,2020-04-21,3550308,753.0,527.0,10342.0,10991.823598151292,422270.7087142914,4027.5072204731428,12131629.406401845,2592.8961812315792,8398.927416919712
SP,São Paulo/SP,2020-04-22,3550308,778.0,349.0,10691.0,11536.547623987499,714950.7844309047,6656.093188398502,12131084.682376008,2701.026672188883,8835.520951798617
SP,São Paulo/SP,2020-04-23,3550308,912.0,534.0,11225.0,12103.962790271267,772575.5866814518,7021.974547747328,12130517.267209725,2813.6405630533473,9290.322227217921
