beta1,beta2,dia_mudanca,gamma,state
0.29668925240148586,0.1662512635964077,21.555648357459614,0.12169209469708304,AC
0.34670929672329553,0.18458038093440446,20.639402914767476,0.1316831811744687,RN
0.39177895899884213,0.2497964560760202,19.47798171110507,0.19832196529609125,TO
0.3288852136856923,0.15567197580405126,25.134540940243337,0.10629724288073286,BA
0.37157287048887133,0.19022508876962246,17.942091750204234,0.13553668900668323,SE
0.39103758643793735,0.23898582722637995,19.507661046345124,0.1819330269312518,RO
0.31734605213887485,0.18279184931191417,9.385506638735944,0.12181323345371504,GO
0.4656393095448859,0.2326814428675466,21.757819974012747,0.18091026795446846,PA
0.3511066389715485,0.15837047906699353,20.404464516912277,0.11549369078671605,CE
0.3172678081443722,0.15579681225881803,41.596872018965925,0.12029153015879507,SP
0.3901299707899206,0.17762200716964832,8.710560812667927,0.133342861575982,PR
0.4341565072646969,0.15937056415580092,13.944948436437235,0.10965745407387155,MG
0.34838436329513695,0.21343339705067402,20.30656860450642,0.15314635252342335,AL
0.3635529320803974,0.18051297270256297,14.906747205627958,0.13127751096412307,RR
0.32758945417566016,0.1965896668049598,7.169484695028181,0.13841022277865744,MS
0.3574119216301569,0.1537741819907919,27.923086420002626,0.12006226034117036,AM
0.3784323067917302,0.182647121131028,16.597498127620536,0.12572371078780348,DF
0.3679719778584514,0.17578445958702063,37.26086234964936,0.13013946051751402,TOTAL
0.3921266888282933,0.1607162085893259,17.9796829488719,0.11749984833623711,RS
0.3988046626489286,0.17696504163442361,9.167465963886546,0.11087877844851661,MT
0.3340857533201524,0.2077647270998902,32.43630966375729,0.16200785894892084,ES
0.46953748729791084,0.23214003196980426,15.447349762845604,0.17745019352874558,AP
0.4577922684030025,0.15261013373490276,18.592500552478242,0.10473852843254709,MA
0.4279356389967427,0.19305360778171593,15.850074087424705,0.15562644032679995,SC
0.30738388792315874,0.1873342761514179,17.385088204187234,0.13124036722714802,PI
0.36227096458107627,0.18203876110511905,21.032958275887573,0.1222408386752733,PB
0.3988011572427246,0.17176247183579707,25.26857130338103,0.1313788803698414,RJ
0.37243516198974624,0.1535094596033973,25.709241812678606,0.12294265222649478,PE
