day,state,suscetivel,infectado,recuperado
2020-03-12,SC,1.0,1.3957147092140057e-07,0.0
2020-03-13,SC,0.9999999121372631,1.6426296879198037e-07,6.317123893878847e-08
2020-03-14,SC,0.9999998242745264,1.889544666625602e-07,1.26342477877577e-07
2020-03-15,SC,0.9999997364117895,2.1364596453314e-07,1.8951371681636547e-07
2020-03-16,SC,0.9999996485490528,2.383374624037198e-07,2.52684955755154e-07
2020-03-17,SC,0.9999995606863159,2.6302896027429964e-07,3.158561946939425e-07
2020-03-18,SC,0.9999994728235791,2.8772045814487943e-07,3.7902743363273105e-07
2020-03-19,SC,0.9999993849608423,3.1241195601545923e-07,4.421986725715195e-07
2020-03-20,SC,0.9999992970981055,3.371034538860391e-07,5.05369911510308e-07
2020-03-21,SC,0.9999992092353687,3.617949517566189e-07,5.685411504490966e-07
2020-03-22,SC,0.9999989958941535,4.2174854983471037e-07,7.219287674200859e-07
2020-03-23,SC,0.9999987295967392,4.965839573936537e-07,9.133907742324866e-07
2020-03-24,SC,0.9999984632993248,5.714193649525971e-07,1.1048527810448876e-06
2020-03-25,SC,0.9999981970019104,6.462547725115405e-07,1.2963147878572881e-06
2020-03-26,SC,0.999997930704496,7.210901800704839e-07,1.487776794669689e-06
2020-03-27,SC,0.9999976644070817,7.959255876294272e-07,1.67923880148209e-06
2020-03-28,SC,0.9999973981096674,8.707609951883704e-07,1.8707008082944906e-06
2020-03-29,SC,0.9999971318122529,9.455964027473138e-07,2.0621628151068916e-06
2020-03-30,SC,0.9999968655148386,1.0204318103062572e-06,2.2536248219192925e-06
2020-03-31,SC,0.9999965612692113,1.1059313718089601e-06,2.4723708877595753e-06
2020-04-01,SC,0.9999962016035624,1.2070049905607978e-06,2.7309629178957562e-06
2020-04-02,SC,0.9999957482814409,1.334397671313618e-06,3.0568923586632432e-06
2020-04-03,SC,0.9999953684515696,1.441137779579029e-06,3.3299821217049217e-06
2020-04-04,SC,0.9999949539895799,1.5576101022334467e-06,3.6279717887264603e-06
2020-04-05,SC,0.9999945026422006,1.684447815730032e-06,3.952481454651275e-06
2020-04-06,SC,0.9999940090497795,1.8231569993956164e-06,4.307364692143796e-06
2020-04-07,SC,0.9999934729827584,1.9738021597937837e-06,4.692786552755874e-06
2020-04-08,SC,0.9999928944411376,2.1363832969245343e-06,5.108747036487507e-06
2020-04-09,SC,0.9999922733153468,2.3109311999713964e-06,5.5553249242823866e-06
2020-04-10,SC,0.9999915987134407,2.5005065033574293e-06,6.040351527026301e-06
2020-04-11,SC,0.9999908634117033,2.707139069797072e-06,6.569020697945395e-06
2020-04-12,SC,0.9999900674101347,2.9308288992903242e-06,7.141332437039667e-06
2020-04-13,SC,0.9999892107087349,3.1715759918371867e-06,7.75728674430912e-06
2020-04-14,SC,0.9999882904277849,3.4301895182743414e-06,8.418954167881194e-06
2020-04-15,SC,0.9999872863056581,3.7123627832049066e-06,9.140903029611492e-06
2020-04-16,SC,0.999986194414039,4.01919960218782e-06,9.925957829760018e-06
2020-04-17,SC,0.9999850147529274,4.35069997522308e-06,1.0774118568326775e-05
2020-04-18,SC,0.9999837473223233,4.706863902310687e-06,1.1685385245311762e-05
2020-04-19,SC,0.9999823742841883,5.092703315772086e-06,1.2672583967017825e-05
2020-04-20,SC,0.9999808604294702,5.5181108606648e-06,1.3761031140169208e-05
2020-04-21,SC,0.9999792048128464,5.983352143228669e-06,1.495140648141977e-05
2020-04-22,SC,0.9999774074343168,6.488427163463691e-06,1.6243709990769515e-05
2020-04-23,SC,0.9999754682938815,7.033335921369868e-06,1.7637941668218432e-05
2020-04-24,SC,0.9999733873915403,7.618078416947199e-06,1.9134101513766533e-05
2020-04-25,SC,0.9999711647272934,8.242654650195684e-06,2.073218952741381e-05
2020-04-26,SC,0.9999687877246473,8.91059773784987e-06,2.244124908590901e-05
2020-04-27,SC,0.9999661715553433,9.645738498914234e-06,2.432227762881636e-05
2020-04-28,SC,0.999963300395618,1.0452522306337562e-05,2.638665354677081e-05
2020-04-29,SC,0.9999601742454711,1.1330949160119852e-05,2.863437683977235e-05
2020-04-30,SC,0.9999567931049029,1.2281019060261105e-05,3.106544750782098e-05
2020-05-01,SC,0.9999531569739134,1.330273200676132e-05,3.367986555091672e-05
2020-05-02,SC,0.9999492658525024,1.4396087999620499e-05,3.647763096905955e-05
2020-05-03,SC,0.9999451180320656,1.556156690926185e-05,3.945997249617627e-05
2020-05-04,SC,0.999940589137742,1.6834100062687626e-05,4.2716333666437466e-05
2020-05-05,SC,0.9999356023344116,1.8235267003145322e-05,4.6301970056412485e-05
2020-05-06,SC,0.9999301576220744,1.9765067730634945e-05,5.021688166610134e-05
2020-05-07,SC,0.9999242550007305,2.1423502245156483e-05,5.4461068495504034e-05
2020-05-08,SC,0.9999178944703798,2.321057054670994e-05,5.903453054462056e-05
2020-05-09,SC,0.9999110760310224,2.5126272635295317e-05,6.393726781345091e-05
2020-05-10,SC,0.9999037996826582,2.7170608510912617e-05,6.91692803019951e-05
2020-05-11,SC,0.9998959660003331,2.937149047646776e-05,7.480208066149131e-05
2020-05-12,SC,0.9998873615265612,3.178884403113297e-05,8.098920087878495e-05
2020-05-13,SC,0.9998779790838224,3.4424684173197914e-05,8.77358034755934e-05
2020-05-14,SC,0.9998678186721165,3.7279010902662596e-05,9.504188845191668e-05
2020-05-15,SC,0.9998568802914438,4.0351824219527e-05,0.00010290745580775476
2020-05-16,SC,0.9998451639418042,4.364312412379114e-05,0.00011133250554310766
