beta,gamma,pop,state
0.2787308614010737,0.20040080105517322,7164788,SC
0.2789905407706381,0.20040080098926863,9557071,PE
0.28623698243648876,0.20040080121743808,7075181,MA
0.27718534777009896,0.20040080154984824,7018354,GO
0.2870312783984321,0.2004007987893607,8602865,PA
0.2908532667198403,0.20040080097877785,210147125,TOTAL
0.27632916561437537,0.20040080155373036,3337357,AL
0.27883910777702486,0.20040080071444127,17264943,RJ
0.2761229947905373,0.18607126867379403,605761,RR
0.2756582625664459,0.2004008010228996,881935,AC
0.2867296670518461,0.20040079932658417,9132078,CE
0.2805204532765191,0.2004008015845523,3484466,MT
0.2804558066596876,0.20040080151810888,1777225,RO
0.285012183134754,0.2004008013320153,3015268,DF
0.2755500301775677,0.20040080111623237,1572866,TO
0.2961233460778622,0.20040080125433035,845731,AP
0.2835419753778642,0.20040080134371469,4018127,PB
0.2796563244596617,0.20040080065846966,14873064,BA
0.2801558615496871,0.20040080093102547,3273227,PI
0.27817593606344837,0.20040080158433327,21168791,MG
0.27542985466356384,0.2004008007464786,11377239,RS
0.2762936319512612,0.20040080150761957,3506853,RN
0.2836708778775504,0.20040080158656237,4144597,AM
0.2779885812738962,0.20040079998138227,4018650,ES
0.2771380983251366,0.20040078868616062,11433957,PR
0.28184314021282164,0.2004007963373432,45919049,SP
0.2718123594553574,0.2004008015989983,2778986,MS
0.2806894204286456,0.20040080129709106,2298696,SE
