date,state,newCases,mortes,TOTAL,totalCasesPred,residuo_quadratico,res_quad_padronizado,suscetivel,infectado,recuperado
2020-02-25,SP,1,0,1,3.0268712153331463,4.108206923546065,1.0201982392442095,45919045.97312878,3.0268712153331463,0
2020-02-26,SP,0,0,1,4.1530240261488425,9.941560509471856,1.9292672533688469,45919044.846975975,3.5811520383605333,0.5718719877883089
2020-02-27,SP,0,0,1,5.48524851131647,20.117454208266615,3.10203289406143,45919043.514751494,4.2368592004989,1.2483893108175703
2020-02-28,SP,1,0,2,7.061506325513166,25.618846283209795,3.177922989668931,45919041.93849368,5.012677026879942,2.048829298633223
2020-02-29,SP,0,0,2,8.926306246099864,47.973718214761995,4.832987923741654,45919040.07369376,5.9305122643195265,2.9957939817803347
2020-03-01,SP,0,0,2,11.132546691747194,83.40340907694262,6.874353027108095,45919037.867453314,7.016400947770904,4.116145743976288
2020-03-02,SP,0,0,2,13.742800507872754,137.89336376769663,9.353267969274945,45919035.257199496,8.30114075571301,5.441659752159743
2020-03-03,SP,0,0,2,16.831002852609704,219.95864561411716,12.335741709666351,45919032.168997146,9.821121766261884,7.009881086347822
2020-03-04,SP,1,0,3,20.484670933655213,305.7137176582075,14.229387948377386,45919028.51532906,11.619418983010961,8.865251950644254
2020-03-05,SP,3,0,6,24.807304787702613,353.7147133775416,13.705992016108926,45919024.19269521,13.746973966111682,11.060330821590941
2020-03-06,SP,4,0,10,29.921387361442573,396.86167440464385,12.834536489766647,45919019.07861264,16.26407142981878,13.657315931623799
2020-03-07,SP,3,0,13,35.971927669756795,527.7094608645378,14.273247139780773,45919013.02807233,19.24208313248899,16.72984453726781
2020-03-08,SP,3,0,16,43.13035301455051,736.0560546941298,16.6791336215108,45919005.86964698,22.7653835650411,20.364969449509413
2020-03-09,SP,0,0,16,51.59949852167193,1267.3242949945222,24.093847481689618,45918997.400501475,26.933805718241636,24.6656928034303
2020-03-10,SP,3,0,19,61.619369782581465,1816.4106806644181,29.007169618140754,45918987.38063022,31.86547735207995,29.753892430501526
2020-03-11,SP,11,0,30,73.47390260231307,1889.9802074754036,25.37775168796784,45918975.5260974,37.700148013012445,35.77375458930063
2020-03-12,SP,16,0,46,87.49901657289766,1722.1683765176347,19.45974591818277,45918961.500983424,44.60315283432818,42.895863738569496
2020-03-13,SP,10,0,56,104.09208803961381,2312.848932009966,22.0078311807655,45918944.90791196,52.77007491319544,51.322013126418426
2020-03-14,SP,9,0,65,123.72343449125525,3448.4417584487464,27.648707498433478,45918925.27656551,62.4323976383316,61.291036852923696
2020-03-15,SP,71,0,136,146.94933492031797,119.88793519729444,0.8103310181276806,45918902.05066507,73.86391294624327,73.08542197407473
2020-03-16,SP,16,0,152,174.42793756998327,503.0123836430671,2.8673447947388713,45918874.572062425,87.38855061698472,87.03938695299857
2020-03-17,SP,12,1,164,206.9378998728002,1843.6632454866144,8.866412744451207,45918842.06210013,103.38955219893143,103.5483476738688
2020-03-18,SP,77,4,241,245.40045421211013,19.363997272877818,0.07858750640211325,45918803.599545784,122.3203309054982,123.08012330661197
2020-03-19,SP,45,5,286,290.9054997402782,24.06392770186923,0.08243739060511027,45918758.09450025,144.7173128302208,146.1881869100574
2020-03-20,SP,110,9,396,344.7425108378942,2627.3301952033935,7.59909502836708,45918704.25748915,171.21514850084654,173.52736233704775
2020-03-21,SP,63,15,459,408.43703895703794,2556.6130294320988,6.244215315606469,45918640.562961034,202.56467693670012,205.87236202033793
2020-03-22,SP,172,22,631,483.79379138047767,21669.66785613433,44.6987322061793,45918565.20620861,239.65412611632,244.13966526415774
2020-03-23,SP,114,30,745,572.9481901362052,29601.8252774074,51.575779462572235,45918476.051809855,283.5344861792562,289.413703956949
2020-03-24,SP,65,40,810,678.4263805809311,17311.617327033986,25.47975442494889,45918370.5736194,335.44904024992184,342.97734033100943
2020-03-25,SP,52,48,862,803.2170206033452,3455.4386667475437,4.296649509053143,45918245.782979384,396.86869147388916,406.3483291294562
2020-03-26,SP,191,58,1053,950.8559220568197,10433.412658862484,10.961125961497855,45918098.144077934,469.5336131206534,481.32230893616617
2020-03-27,SP,170,68,1223,1125.5261501589143,9501.151402842515,8.434026499519986,45917923.473849826,555.502503110137,570.0236470487772
2020-03-28,SP,183,84,1406,1332.1764808886471,5449.911973984284,4.087914880070169,45917716.8235191,657.2108688090102,674.9656120796368
2020-03-29,SP,45,98,1451,1576.6615453935005,15790.823990682798,10.00900607407798,45917472.33845459,777.5399784713309,799.1215669221693
2020-03-30,SP,66,113,1517,1865.9075558848206,121736.48255351919,65.20755790493449,45917183.09244411,919.8983931549866,946.0091627298339
2020-03-31,SP,822,136,2339,2208.108185040468,17132.66722340036,7.755467721960622,45916840.89181495,1088.318325393706,1119.789859646762
2020-04-01,SP,642,164,2981,2612.9569911370927,135455.65637286205,51.82015497276325,45916436.04300885,1287.5699641316082,1325.3870270054836
2020-04-02,SP,525,188,3506,3091.9209529056975,171461.4572425256,55.436740819852886,45915957.079047084,1523.2960058441263,1568.6249470615712
2020-04-03,SP,542,219,4048,3658.5652463678775,151659.42733651193,41.441924689560885,45915390.43475362,1802.1713652705885,1856.3938810972884
2020-04-04,SP,418,260,4466,4328.936616991535,18786.37096172525,4.338717312397549,45914720.063383,2132.0916704907286,2196.8449465008052
2020-04-05,SP,154,275,4620,5062.025049345008,195386.14424845637,38.5907915414586,45913986.974950634,2463.3364212367255,2598.6886281082807
2020-04-06,SP,246,304,4866,5595.014970220799,531462.8268060326,94.97165923147327,45913453.98502977,2560.610933740984,3034.404036479814
2020-04-07,SP,816,371,5682,6149.045073620684,218131.1007933501,35.46821172563065,45912899.95492637,2661.7200699467703,3487.3250036739123
2020-04-08,SP,1026,428,6708,6724.943911480852,287.09613627094706,0.04268488409201394,45912324.05608851,2766.814403393115,3958.1295080877358
2020-04-09,SP,772,496,7480,7323.57288202315,24469.443238543423,3.340733122964656,45911725.427117966,2876.0504418661494,4447.522440156998
2020-04-10,SP,736,540,8216,7945.827073588157,72993.41016593915,9.185226945297188,45911103.1729264,2989.5907766662726,4956.236296921882
2020-04-11,SP,203,560,8419,8592.636708336007,30149.70648176369,3.508375732536825,45910456.36329165,3107.6043403007325,5485.03236803527
2020-04-12,SP,336,588,8755,9264.968210222847,260067.575437894,28.06696176131597,45909784.031789765,3230.2665965603337,6034.701613662511
2020-04-13,SP,140,608,8895,9963.826210397167,1142389.468031968,114.64218681907509,45909085.17378959,3357.759897430348,6606.0663129668155
2020-04-14,SP,476,695,9371,10690.254551802756,1740432.5724522916,162.79030342223217,45908358.74544819,3490.273661317377,7199.980890485375
2020-04-15,SP,1672,778,11043,11445.337870135276,161875.76174499007,14.142144289427387,45907603.66212985,3628.004653826568,7817.333216308705
2020-04-16,SP,525,853,11568,12230.20325670403,438513.15318942297,35.852004417396145,45906818.79674328,3771.1572823491147,8459.04597435491
2020-04-17,SP,1273,928,12841,13046.021875421087,42033.96940117985,3.2217290507013288,45906002.97812457,3919.9438825209954,9126.077992900087
2020-04-18,SP,1053,991,13894,13894.010660541022,1.136471348803478e-4,8.178988678510504e-9,45905154.98933944,4074.585018424725,9819.425642116292
2020-04-19,SP,373,1015,14267,14775.434104294674,258505.23840992784,17.49442636737337,45904273.56589569,4235.309798024443,10540.124306270225
2020-04-20,SP,313,1037,14580,15691.606156195146,1235668.2464909484,78.74206707234093,45903357.39384379,4402.356207586366,11289.249948608776
2020-04-21,SP,805,1093,15385,16643.892053826206,1584809.2031867641,95.21294569299774,45902405.10794616,4575.971434478417,12067.920619347784
2020-04-22,SP,529,1134,15914,17633.70997344996,2957402.3927832646,167.70348915495623,45901415.29002654,4756.412159412518,12877.297814037436
2020-04-23,SP,826,1345,16740,18662.533212658727,3696133.953775887,198.04041987446126,45900386.46678732,4943.944938703501,13718.58827395522
2020-04-24,SP,1086,1512,17826,19731.89299367984,3632428.103357908,184.0798561326675,45899317.107006304,5138.84669090626,14593.046302773573
2020-04-25,SP,2178,1667,20004,20843.3802939573,704559.2778838429,33.80092226047573,45898205.61970603,5341.405020051607,15501.975273905688
2020-04-26,SP,711,1700,20715,21998.647835413165,1647751.765360904,74.89900646084402,45897050.35216457,5551.918563635615,16446.729271777538
2020-04-27,SP,981,1825,21696,23199.41232432107,2260248.616920484,97.42277789395396,45895849.58767566,5770.697383624743,17428.714940696325
2020-04-28,SP,2345,2049,24041,24447.457235530866,165207.48431539425,6.757378705896367,45894601.542764455,5998.0634501311615,18449.3937853997
2020-04-29,SP,2117,2247,26158,25744.6354413733,170870.25832864747,6.636863118711707,45893304.364558615,6234.351094909799,19510.284346463493
2020-04-30,SP,2540,2375,28698,27092.871687050516,2576436.901032057,95.09297640408705,45891956.12831293,6479.907442440809,20612.964244609702
2020-05-01,SP,1676,2511,30374,28494.165335320442,3533778.3665309064,124.01326066884414,45890554.834664665,6735.092883644465,21759.07245167597
2020-05-02,SP,800,2586,31174,29950.59322433333,1496724.1387471177,49.97143649544314,45889098.40677565,7000.281567527111,22950.311656806218
2020-05-03,SP,598,2627,31772,31464.312565427706,94671.55739367944,3.008759477498379,45887584.68743456,7275.86190143706,24188.450663990643
2020-05-04,SP,415,2654,32187,33037.5640317843,723459.172165162,21.89741574328618,45886011.4359682,7562.237077506814,25475.32695427748
