beta1,beta2,beta3,gammaA,gammaS,pop,state
0.9276750178778406,0.9859259636427967,0.7758902306027354,0.28994428568788216,0.22818630448875524,2778986,MS
1.821807652189676,1.4095993368247095,0.9262433529254461,0.3024757515053539,0.3210575327435983,9557071,PE
1.1498274644935018,1.1729684983011333,0.7758210179003315,0.3024289610249529,0.32075182617821396,14873064,BA
1.1918993274168663,0.9241395695382029,0.6731818044377965,0.3013255202690653,0.2930547535834616,4018127,PB
1.0712939694651407,0.8153082354993609,0.5915446372687589,0.28779809884227303,0.27440981181616775,2298696,SE
1.102390022375118,0.9713575837008855,0.6740424893552397,0.3030788837202462,0.3023144837771394,3337357,AL
1.024388941402285,1.0213367755641531,0.5531393124159206,0.2882685366584177,0.284913342510686,845731,AP
1.289920337096833,0.822230079505837,0.648205773252847,0.3018538799322005,0.29435345217682773,45919049,SP
1.4339236261935833,1.1021931447255942,0.7882195668896903,0.3027666971130456,0.322855696304189,17264943,RJ
1.4020910146139576,0.8602144295471003,0.6295448930183124,0.3007383584984427,0.29602027708956474,210147125,TOTAL
1.026019457163161,1.5113182793346014,0.664463864815253,0.29767381987511615,0.30922006234587796,4144597,AM
1.1409588170283742,0.8888987654376815,0.7082377181994428,0.30160274029603945,0.29571715155041495,4018650,ES
1.3611071144732312,0.6811153065673109,0.39273898192468726,0.3015870049322348,0.23605765737360268,8602865,PA
0.7300697602555953,1.5883188982283707,0.8471828448186125,0.2816877963646864,0.2708236125889227,7018354,GO
0.7908647239252086,0.9463808874431312,0.5039288304130782,0.2806959444502201,0.27111006169803653,881935,AC
1.7845678822969497,0.9359316274733787,0.9617516902026189,0.2986479654420925,0.3149640131537527,11377239,RS
1.4505184122884478,0.8284041883207928,0.6595606848660757,0.28550694053655,0.3014628867659958,3273227,PI
1.2164142659978046,0.8460857357940448,0.5017218856622622,0.2979695455524584,0.3178480381699,7075181,MA
1.3269273809759792,1.0198233001743369,0.7092688918550517,0.2868249106394299,0.30288170956284954,3484466,MT
1.1689969842684658,1.6284735787411135,0.9437908483469439,0.285566919958542,0.27618121481450786,3506853,RN
1.0531696664097985,1.3373462790929036,0.7946725552894276,0.29476195961700785,0.32230350721361917,7164788,SC
1.187481471518285,0.8399892149106869,0.6292350464139812,0.3030238771938174,0.3332544156257839,605761,RR
1.4316161714570401,0.9214524869305804,0.7411376523347911,0.3054035262017076,0.303801049549672,3015268,DF
1.1249124229203618,1.26064582193108,0.7887322763016941,0.29625527067505225,0.2937629834547666,1777225,RO
0.972619655367156,1.2066689686375331,0.7648988888485152,0.2946335467878884,0.3212148204900399,1572866,TO
0.7709736040717053,1.6341509273517374,0.8131289709278378,0.281634830670346,0.2726435407956399,21168791,MG
1.461027527503311,0.9162478813484578,0.6414476817977277,0.3061316699737013,0.306332728674597,11433957,PR
1.3781873083576295,0.8752153291685969,0.6125001368936464,0.29934724887392405,0.2862801720663024,9132078,CE
