beta1,beta2,beta3,gamma,pop,state
0.23042025379727812,0.10537820558354143,0.13330981770209965,0.13013442622400823,9132078,CE
0.241256164046544,0.08050692706274552,0.15137360061772526,0.13871059357813634,11433957,PR
0.1988323911591576,0.14109591030740443,0.1362762602119377,0.132777483480864,2298696,SE
0.19937007561948056,8.58754264902251e-06,0.1483428980986998,0.1376770339184157,845731,AP
0.07103804009121288,0.20332897758150872,0.11655977806528962,0.1161550909568937,210147125,TOTAL
0.22081157930728745,0.09450206861024288,0.14170754965914353,0.13720288661287894,9557071,PE
0.60657758937425,0.20950236628042673,0.14752428279897922,0.14002431677699245,2778986,MS
0.2644016041015649,0.15482232862934503,0.11726599831165373,0.11689924650397374,3015268,DF
0.19024035830351307,0.10508076736265014,0.13974585286021712,0.1334311817238928,605761,RR
1.139141074341085,0.18796429000777082,0.14686687746870838,0.14115509495333237,3484466,MT
0.2079786424563249,0.13169521185254054,0.14507768304989022,0.1389812011240497,3337357,AL
0.23005734497871647,0.1181096211216725,0.14505197434317385,0.1408331749367931,17264943,RJ
0.24021854486950958,0.13351254995611594,0.15200510625640368,0.13903565313582855,1777225,RO
0.25584485284798436,0.13302039568858615,0.1374742689232171,0.14165719648199995,7075181,MA
0.22478040486980172,0.13604245033621468,0.14270424932865836,0.13308601268498324,3506853,RN
0.28435741059647385,0.1359370998447303,0.13015982485184904,0.13047203363921328,8602865,PA
0.9066463059124281,0.15538105162621932,0.14825029627092326,0.14049748408623947,4018650,ES
0.21549411174534538,0.0927626469982615,0.1522179471990139,0.14274619929320415,881935,AC
1.3389062753540282,0.15769358599846398,0.14096179523615934,0.13095409019677948,7164788,SC
1.391946664170517,0.15108757721396687,0.10990997170259816,0.10775376942949894,1572866,TO
0.2300377694686885,0.11600682958016721,0.14899427656811273,0.13346920743432758,4018127,PB
0.2227976966180208,0.12449487586747125,0.14034936013235996,0.1323052175070318,4144597,AM
0.19283537916002982,0.1844451265718219,0.1343153048110876,0.13287294676069614,3273227,PI
1.1731066090993827,0.1599131872670602,0.14802976646100652,0.1414313888394299,21168791,MG
1.1122889894221284,0.1453391828798017,0.15225057454386778,0.1425295033112104,45919049,SP
1.2048260676231302,0.1612005422395183,0.11418212146370488,0.12554165196511427,7018354,GO
0.23893902767547706,0.10380169415164034,0.13157924656464537,0.12596701038839175,14873064,BA
1.2603381102570055,0.16708283098664442,0.1332770899495882,0.12437112933073875,11377239,RS
