beta1,beta2,beta3,gammaA,gammaS,pop,state
1.2392360332738035,0.8823324111482869,1.24672848315382,0.3000840934522479,0.33163073723087216,845731,AP
1.5286224456281297,0.9502122341822392,1.2262058848438788,0.2954726866077602,0.3105536487128372,11433957,PR
0.7111315366031457,0.42064666484989494,0.510954003075519,0.2883419254405717,0.2764771399434701,14873064,BA
0.8831394763710827,0.6036013214425483,0.8380610093335986,0.2951229065867759,0.3001858543864524,1777225,RO
0.9544193247845474,0.7453245665944127,0.5780297651584204,0.30481322668765864,0.25159851738630806,7018354,GO
1.8305627144037242,0.7525590141338911,0.7245183867459518,0.28058016268599395,0.23030195719570104,21168791,MG
1.151211296872266,0.5595962598823069,0.6247950844423595,0.28529155647289506,0.30541430417249565,9132078,CE
1.5425122233783688,0.6630198268763133,0.9182702099962129,0.2852910839027911,0.24999613464861026,8602865,PA
1.636054481469222,0.8239737529136493,0.8967500408848169,0.2894460088935956,0.21474039452685845,45919049,SP
1.820695121401164,0.7242714326609312,0.6762298070323749,0.28243141776652075,0.24053138945132216,210147125,TOTAL
0.9855715528292134,0.6424932580995867,0.5667604147911579,0.2949193466304901,0.2915595773504733,1572866,TO
0.9642063382967667,0.7088779516980007,0.6495076730360357,0.2988052241339555,0.3025686928773936,3484466,MT
0.6203145932989216,0.4142765719330191,0.44120804471797587,0.28461114817283,0.2817139073308959,3337357,AL
1.4848466770794657,0.8324219032242899,0.8756231094749979,0.2868200673960979,0.2204430111783074,7075181,MA
1.1612373030146301,0.707319970480304,0.7339808270206123,0.2964609780082684,0.31405362319912955,2778986,MS
1.9469671743180406,1.1241668933595304,1.331377360734052,0.30833707925830456,0.3153717190286832,2298696,SE
1.2109673258776112,0.7072160365443794,1.0708684377120294,0.2997202127812008,0.32072044698942065,4144597,AM
0.993600578554846,0.8518426498497645,1.3611401242069674,0.29513243230120273,0.23146884984020488,3015268,DF
1.187752520464298,0.7998124639036525,0.9390022246377661,0.30000109444725603,0.32233150650801395,3273227,PI
1.5214189623436893,0.819282236896535,0.9579930551932886,0.30126974591873035,0.21185978282213797,17264943,RJ
1.123722197272757,0.6671664393325694,0.8751794939712941,0.29265742564843145,0.3044094393129452,881935,AC
1.914463348221443,1.0960011574610296,1.219066385002706,0.28658515367120163,0.3206412078093271,3506853,RN
1.189026106510716,0.6785593228583294,0.8297624791077723,0.2961889218060991,0.31373348286359903,4018650,ES
1.9708390119617392,0.954655406891036,1.0627448872833032,0.30697523910571084,0.3090359347713398,4018127,PB
1.2721790833600282,0.7445379168879758,0.9177110563464105,0.2904750239948804,0.27353463839909536,7164788,SC
1.282330242557066,0.8694013515770442,1.1902381241970044,0.30347459471839655,0.27874822260396653,605761,RR
1.368209078806244,0.6951440795006669,0.808193655571724,0.2931690146448877,0.27667657528364253,9557071,PE
0.678603163992817,0.9806219108697509,0.6784629062178664,0.292971930637148,0.26733203561456914,11377239,RS
